encoder,gold_mode,gold_length,variant,label,case_id,task_id,gold_text,answer,cosine_similarity
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,en,correct,capital_maharashtra__en,capital_maharashtra,Mumbai,"Mumbai is the capital of Maharashtra, and it is also the largest city in India.",0.6466650366783142
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,en,wrong_subtle,capital_maharashtra__en__wrong_subtle,capital_maharashtra,Mumbai,Mumbai is the capital of India.,0.7472423315048218
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,en,wrong_hard,capital_maharashtra__en__wrong_hard,capital_maharashtra,Mumbai,The capital of Maharashtra is Chennai.,0.5920909643173218
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hi,correct,capital_maharashtra__hi,capital_maharashtra,Mumbai,महाराष्ट्र की राजधानी मुंबई है। यह भारत का एक प्रमुख आर्थिक और सांस्कृतिक केंद्र है।,0.32577842473983765
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hi,wrong_subtle,capital_maharashtra__hi__wrong_subtle,capital_maharashtra,Mumbai,मुंबई भारत की राजधानी है।,0.32193565368652344
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hi,wrong_hard,capital_maharashtra__hi__wrong_hard,capital_maharashtra,Mumbai,महाराष्ट्र की राजधानी चेन्नई है।,0.34290629625320435
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hinglish,correct,capital_maharashtra__hinglish,capital_maharashtra,Mumbai,"Maharashtra ki rajdhani Mumbai hai, jo ki Bharat ka ek mahatvapurn arthik aur samajik kendra bhi hai.",0.5761641263961792
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hinglish,wrong_subtle,capital_maharashtra__hinglish__wrong_subtle,capital_maharashtra,Mumbai,Mumbai Bharat ki rajdhani hai.,0.6745895147323608
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hinglish,wrong_hard,capital_maharashtra__hinglish__wrong_hard,capital_maharashtra,Mumbai,Maharashtra ki rajdhani Chennai hai.,0.6292784214019775
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,en,correct,planets_count__en,planets_count,Eight,"There are eight planets in our solar system. They are Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune.",0.3641458749771118
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,en,wrong_subtle,planets_count__en__wrong_subtle,planets_count,Eight,"There are nine planets in our solar system, including Pluto.",0.3005395531654358
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,en,wrong_hard,planets_count__en__wrong_hard,planets_count,Eight,There are twelve planets in our solar system.,0.2821972966194153
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hi,correct,planets_count__hi,planets_count,Eight,"हमारे सौर मंडल में 8 ग्रह हैं: बुध, शुक्र, पृथ्वी, मंगल, बृहस्पति, शनि, यूरेनस और नेपच्यून। यह संख्या 2006 में प्लूटो को बौना ग्रह घोषित करने के बाद तय हुई।",0.21956253051757812
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hi,wrong_subtle,planets_count__hi__wrong_subtle,planets_count,Eight,"हमारे सौर मंडल में नौ ग्रह हैं, जिसमें प्लूटो भी शामिल है।",0.07113587856292725
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hi,wrong_hard,planets_count__hi__wrong_hard,planets_count,Eight,हमारे सौर मंडल में बारह ग्रह हैं।,0.07191693782806396
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hinglish,correct,planets_count__hinglish,planets_count,Eight,"हमारे सौर मंडल में 8 ग्रह हैं: बुध, शुक्र, पृथ्वी, मंगल, बृहस्पति, शनि, यूरेनस और नेपच्यून।",0.2733006477355957
