"# Section 1: AUC delta (handwritten vs minimal-edit negatives), correct vs *_hard"
encoder,gold_mode,gold_length,variant,auc_handwritten,auc_minimal,delta
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,en,0.59,0.7,0.10999999999999999
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hi,0.6790123456790125,0.6358024691358024,-0.04320987654321007
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hinglish,0.64,0.6000000000000001,-0.039999999999999925
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,en,0.6,0.9,0.30000000000000004
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,hi,0.617283950617284,0.5864197530864197,-0.030864197530864335
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,hinglish,0.75,0.6000000000000001,-0.1499999999999999
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,short,en,0.59,0.7,0.10999999999999999
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,short,hi,0.3703703703703704,0.5,0.1296296296296296
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,short,hinglish,0.5700000000000001,0.6,0.029999999999999916
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,full_sentence,en,0.6,0.9,0.30000000000000004
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,full_sentence,hi,0.2716049382716049,0.6975308641975309,0.42592592592592593
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,full_sentence,hinglish,0.06,0.7124999999999999,0.6524999999999999
sentence-transformers/LaBSE,english_gold,short,en,0.7200000000000001,0.8444444444444446,0.12444444444444447
sentence-transformers/LaBSE,english_gold,short,hi,0.6172839506172839,0.7530864197530864,0.13580246913580252
sentence-transformers/LaBSE,english_gold,short,hinglish,0.71,0.7875,0.07750000000000001
sentence-transformers/LaBSE,english_gold,full_sentence,en,0.06999999999999998,0.8111111111111111,0.7411111111111112
sentence-transformers/LaBSE,english_gold,full_sentence,hi,0.12345679012345681,0.7530864197530864,0.6296296296296297
sentence-transformers/LaBSE,english_gold,full_sentence,hinglish,0.7300000000000001,0.7125,-0.01750000000000007
sentence-transformers/LaBSE,same_language_gold,short,en,0.7200000000000001,0.8444444444444446,0.12444444444444447
sentence-transformers/LaBSE,same_language_gold,short,hi,0.5555555555555556,0.6419753086419753,0.08641975308641969
sentence-transformers/LaBSE,same_language_gold,short,hinglish,0.6699999999999999,0.825,0.15500000000000003
sentence-transformers/LaBSE,same_language_gold,full_sentence,en,0.06999999999999998,0.8111111111111111,0.7411111111111112
sentence-transformers/LaBSE,same_language_gold,full_sentence,hi,0.0740740740740741,0.8271604938271605,0.7530864197530864
sentence-transformers/LaBSE,same_language_gold,full_sentence,hinglish,0.16000000000000003,0.775,0.615
intfloat/multilingual-e5-base,english_gold,short,en,0.8999999999999999,0.788888888888889,-0.11111111111111094
intfloat/multilingual-e5-base,english_gold,short,hi,0.5555555555555556,0.654320987654321,0.09876543209876543
intfloat/multilingual-e5-base,english_gold,short,hinglish,0.74,0.725,-0.015000000000000013
intfloat/multilingual-e5-base,english_gold,full_sentence,en,0.86,0.8333333333333334,-0.026666666666666616
intfloat/multilingual-e5-base,english_gold,full_sentence,hi,0.4938271604938272,0.7037037037037037,0.20987654320987653
intfloat/multilingual-e5-base,english_gold,full_sentence,hinglish,0.68,0.725,0.04499999999999993
intfloat/multilingual-e5-base,same_language_gold,short,en,0.8999999999999999,0.788888888888889,-0.11111111111111094
intfloat/multilingual-e5-base,same_language_gold,short,hi,0.5679012345679013,0.6296296296296297,0.061728395061728336
intfloat/multilingual-e5-base,same_language_gold,short,hinglish,0.69,0.6875,-0.0024999999999999467
intfloat/multilingual-e5-base,same_language_gold,full_sentence,en,0.86,0.8333333333333334,-0.026666666666666616
intfloat/multilingual-e5-base,same_language_gold,full_sentence,hi,0.4444444444444444,0.6666666666666667,0.22222222222222232
