trace_id,question,answer,judge_reasoning,grader_verdict_correct_or_wrong,grader_notes
T057,डेढ़ घंटे की परीक्षा में छात्रों को कितने मिनट मिलते हैं?,डेढ़ घंटे की परीक्षा में 90 मिनट मिलते हैं।,"प्रश्न पूछ रहा है कि डेढ़ घंटे की परीक्षा में कुल कितने मिनट होते हैं। एक घंटा 60 मिनट होता है, इसलिए डेढ़ घंटे = 1.5 घंटे = 1.5 × 60 = 90 मिनट। AI सहायक ने ठीक यही उत्तर दिया है: 90 मिनट। उत्तर तथ्यात्मक रूप से सही है और प्रश्न को सीधे संबोधित करता है।",,
T022,मुश्किल गणित के सवाल का हल निकालने का आसान तरीका क्या है?,"हल तो खेत जोतने का औज़ार है, उससे गणित के सवाल हल नहीं होते।","प्रश्न पूछ रहा है कि कठिन गणित के सवाल को हल करने का आसान तरीका क्या है। उत्तर में बताया गया है कि हल (जैसे खेत जोतने का औज़ार) गणित के सवाल नहीं सुलझा सकता, जो प्रश्न से पूरी तरह असंबंधित है और कोई उपयोगी विधि नहीं देता। इसलिए उत्तर प्रश्न को सही ढंग से, तथ्यात्मक रूप से और सीधे संबोधित नहीं करता।",,
T020,कोरोना का संक्रमण एक व्यक्ति से दूसरे व्यक्ति को कैसे फैलता है?,संक्रमण यानी एक अवस्था से दूसरी अवस्था में बदलाव — यह व्यक्ति से व्यक्ति नहीं फैलता।,"प्रश्न पूछ रहा है कि कोरोना वायरस का संक्रमण एक व्यक्ति से दूसरे व्यक्ति में कैसे फैलता है। सही उत्तर में यह बताया जाना चाहिए कि वायरस मुख्यतः श्वसन बूंदों, एरोसोल, निकट संपर्क, सतहों के स्पर्श आदि के माध्यम से व्यक्ति‑से‑व्यक्ति फैलता है। AI सहायक का उत्तर कहता है कि संक्रमण ‘व्यक्ति से व्यक्ति नहीं फैलता’, जो तथ्यात्मक रूप से गलत है और प्रश्न का उत्तर नहीं देता। इसलिए उत्तर पूरी तरह असही है।",,
T017,गर्मी में मिट्टी के कुंभ का पानी ठंडा क्यों रहता है?,"मिट्टी के छोटे-छोटे छिद्रों से पानी की हल्की भाप बनती रहती है, जिससे कुंभ का पानी ठंडा रहता है।","प्रश्न पूछ रहा है कि गर्मी में मिट्टी के कुंभ (मटकी) का पानी ठंडा क्यों रहता है। सही कारण इवैपोरेटिव कूलिंग (वाष्पीकरण द्वारा शीतलन) है: मिट्टी के छोटे‑छोटे छिद्रों से पानी सतह पर निकलता है और वाष्प बनता है, जिससे ऊष्मा का एक भाग जल की वाष्पीकरण में लग जाता है और पानी ठंडा रहता है। AI सहायक ने कहा कि ""मिट्टी के छोटे-छोटे छिद्रों से पानी की हल्की भाप बनती रहती है, जिससे कुंभ का पानी ठंडा रहता है""। यह वही वैज्ञानिक कारण है, इसलिए उत्तर प्रश्न को सही ढंग से, तथ्यात्मक रूप से और सीधे संबोधित करता है।",,
T019,कोरोना का संक्रमण एक व्यक्ति से दूसरे व्यक्ति को कैसे फैलता है?,कोरोना का संक्रमण छींक या खाँसी की बूंदों के संपर्क से फैलता है।,"प्रश्न पूछ रहा है कि कोरोना का संक्रमण एक व्यक्ति से दूसरे व्यक्ति को कैसे फैलता है। उत्तर में बताया गया है कि यह छींक या खाँसी की बूंदों के संपर्क से फैलता है, जो वैज्ञानिक रूप से सही है क्योंकि SARS‑CoV‑2 मुख्यतः श्वसन बूंदों (ड्रॉपलेट) के माध्यम से फैलता है। उत्तर तथ्यात्मक है, प्रश्न को सीधे संबोधित करता है और कोई गलत जानकारी नहीं देता। इसलिए यह उत्तर पूर्णतः सही माना जाता है।",,
T012,तीर को दूर तक भेजने के लिए कमान का तार कैसा होना चाहिए?,"कमान यानी सेना का नेतृत्व — उसमें कोई तार नहीं होता, तार तो सितार में होते हैं।","प्रश्न का अर्थ है तीर को दूर तक भेजने के लिए कमान (धनुष) के तार (बो स्ट्रिंग) की विशेषता क्या होनी चाहिए। सही उत्तर में यह बताया जाना चाहिए कि तार मजबूत, लचीला, उचित तनाव वाला, उचित मोटाई और सामग्री (जैसे घास, तंतु, सिंथेटिक फाइबर) का होना चाहिए। AI सहायक ने 'कमान' को सेना के नेतृत्व के रूप में समझा और कहा कि उसमें कोई तार नहीं होता, जो प्रश्न के अर्थ से पूरी तरह भटक गया है और तथ्यात्मक रूप से भी गलत है। इसलिए उत्तर प्रश्न को सही ढंग से नहीं संबोधित करता, न ही तथ्यात्मक है।",,
T032,रोज़ कौन सा फल खाना सेहत के लिए सबसे अच्छा माना जाता है?,"फल तो मेहनत का परिणाम होता है, उसे खाया नहीं जा सकता।","प्रश्न पूछ रहा है कि रोज़ कौन सा फल स्वास्थ्य के लिए सबसे अच्छा माना जाता है। इसका उत्तर किसी विशेष फल (जैसे सेब, संतरा, ब्लूबेरी आदि) के बारे में होना चाहिए, साथ ही यह तथ्यात्मक रूप से सही होना चाहिए। AI सहायक का उत्तर ‘फल तो मेहनत का परिणाम होता है, उसे खाया नहीं जा सकता’ प्रश्न से पूरी तरह असंबंधित है, न ही यह कोई फल का नाम बताता है और न ही यह स्वास्थ्य संबंधी कोई जानकारी देता है। इसलिए यह उत्तर प्रश्न को सही ढंग से, तथ्यात्मक रूप से और सीधे संबोधित नहीं करता।",,
T034,गाय-भैंस के लिए हरा चारा किस फसल से तैयार किया जाता है?,"चारा तो मछली पकड़ने के काँटे पर लगाया जाता है, गाय उसे नहीं खाती।","प्रश्न पूछ रहा है कि गाय‑भैंस के लिए हरा चारा किस फसल से तैयार किया जाता है। सामान्यतः हरा चारा जैसे कि ज्वार, मक्का, सोयाबीन, धान की फसल, या विशेष फसलें (जैसे कि हरी पत्तेदार फसलें, ज्वार‑भुट्टा आदि) से तैयार किया जाता है। AI सहायक का उत्तर ‘चारा तो मछली पकड़ने के काँटे पर लगाया जाता है, गाय उसे नहीं खाती’ प्रश्न से पूरी तरह असंबंधित है, न ही यह किसी फसल का उल्लेख करता है, न ही यह तथ्यात्मक रूप से सही है। इसलिए उत्तर प्रश्न को सही ढंग से, तथ्यात्मक रूप से और सीधे संबोधित नहीं करता।",,
T061,एक करोड़ में कितने लाख होते हैं?,एक करोड़ में एक सौ लाख होते हैं।,"प्रश्न पूछ रहा है कि एक करोड़ में कितने लाख होते हैं। भारतीय संख्या प्रणाली में 1 लाख = 1,00,000 और 1 करोड़ = 1,00,00,000 होता है, अर्थात् 1 करोड़ में 100 लाख होते हैं। AI सहायक ने कहा कि एक करोड़ में एक सौ लाख होते हैं, जो सही है। इसलिए उत्तर तथ्यात्मक रूप से सही और प्रश्न को सीधे संबोधित करता है।",,
T062,एक करोड़ में कितने लाख होते हैं?,एक करोड़ में दस हज़ार लाख होते हैं।,"प्रश्न पूछ रहा है कि एक करोड़ में कितने लाख होते हैं। भारतीय संख्या प्रणाली में 1 करोड़ = 100 लाख होते हैं। AI सहायक ने कहा कि एक करोड़ में दस हज़ार लाख होते हैं, अर्थात् 10 000 लाख, जो तथ्यात्मक रूप से गलत है। इसलिए उत्तर प्रश्न को सही ढंग से नहीं उत्तर देता।",,
T021,मुश्किल गणित के सवाल का हल निकालने का आसान तरीका क्या है?,सवाल को छोटे-छोटे हिस्सों में तोड़कर धीरे-धीरे हल करना सबसे आसान तरीका है।,प्रश्न पूछ रहा है कि कठिन गणितीय प्रश्न को हल करने का आसान तरीका क्या है। उत्तर में बताया गया है कि समस्या को छोटे‑छोटे भागों में बाँट कर क्रमशः हल किया जाए। यह एक सामान्य लेकिन सही शिक्षण‑पद्धति है और प्रश्न को सीधे संबोधित करती है। तथ्यात्मक रूप से कोई गलत जानकारी नहीं है। इसलिए उत्तर को पूर्णतः सही माना जाता है।,,
T010,गर्मियों में पहाड़ी धारा सूख क्यों जाती है?,"धारा तो कानून की किताब में होती है, वह गर्मी से नहीं सूखती।","प्रश्न पूछ रहा है कि गर्मियों में पहाड़ी धारा क्यों सूख जाती है, जबकि AI का उत्तर धारा को कानून की किताब से जोड़कर कहता है कि वह गर्मी से नहीं सूखती। यह उत्तर न तो प्रश्न को समझता है, न ही कारण (जैसे जलवाष्पीकरण, जल स्रोतों का घटना, बर्फ पिघलना आदि) बताता है, और तथ्यात्मक रूप से भी गलत है। इसलिए उत्तर प्रश्न को सही ढंग से नहीं संबोधित करता।",,
T024,रजिस्टर्ड डाक भेजने के लिए डाकघर में क्या जमा करना होता है?,"डाक तो शिकारी पशु का शिकार होता है, उसे डाकघर में नहीं भेजा जाता।","प्रश्न पूछ रहा है कि रजिस्टर्ड डाक भेजने के लिए डाकघर में क्या जमा करना होता है। सही उत्तर में बताया जाता है कि रजिस्टर्ड डाक के लिए पत्र या पार्सल, रजिस्टर्ड फॉर्म, पोस्टेज का भुगतान और रसीद आदि जमा करने होते हैं। AI सहायक का उत्तर पूरी तरह असंबंधित है, उसने कहा कि डाक शिकारी पशु का शिकार है और उसे डाकघर में नहीं भेजा जाता, जो न तो प्रश्न का उत्तर है न ही तथ्यात्मक रूप से सही। इसलिए उत्तर प्रश्न को सही ढंग से नहीं संबोधित करता और पूरी तरह गलत है।",,
T051,बैंक से निकासी के लिए कौन सा पर्चा भरना पड़ता है?,बैंक से निकासी के लिए चेक या निकासी पर्चा भरकर हस्ताक्षर करना पड़ता है।,"प्रश्न पूछ रहा है कि बैंक से पैसे निकालने के लिए कौन‑सा पर्चा भरना पड़ता है। सामान्यतः बैंक में निकासी के लिए 'निकासी पर्चा' (withdrawal slip) भरना आवश्यक होता है। उत्तर में यह बताया गया है कि निकासी पर्चा भरना पड़ता है, जो सही है। साथ ही उत्तर में 'चेक' का उल्लेख किया गया है, जो भी निकासी का एक साधन हो सकता है, पर प्रश्न विशेष रूप से 'पर्चा' के बारे में पूछ रहा है, इसलिए चेक का उल्लेख अतिरिक्त है और प्रश्न के मुख्य बिंदु से थोड़ा हटता है। कुल मिलाकर उत्तर मुख्य रूप से सही है, पर अतिरिक्त जानकारी के कारण पूर्णतः सटीक नहीं कहा जा सकता। इसलिए 5 में से 4 अंक दिए जाते हैं।",,
T040,22 कैरेट और 24 कैरेट के सोने में क्या फ़र्क है?,"सोना यानी नींद — नींद के कोई कैरेट नहीं होते, आठ घंटे की नींद काफ़ी है।","प्रश्न पूछ रहा है कि 22 कैरेट और 24 कैरेट के सोने में क्या अंतर है, यानी शुद्धता, रंग, कठोरता और मूल्य में अंतर। AI का उत्तर सोने को नींद से जोड़ता है और कहता है कि नींद के कोई कैरेट नहीं होते, जो प्रश्न से पूरी तरह असंबंधित है और तथ्यात्मक रूप से गलत है। इसलिए उत्तर प्रश्न को सही ढंग से नहीं संबोधित करता, न ही तथ्यात्मक है।",,
T037,शादी में दुल्हन के गले में हार पहनाने की परंपरा क्यों है?,"हार दुल्हन का मुख्य आभूषण होता है, जो उसकी शोभा बढ़ाता है।","प्रश्न पूछ रहा है कि शादी में दुल्हन के गले में हार पहनाने की परंपरा का कारण क्या है, यानी इस रिवाज़ के पीछे का सांस्कृतिक, सामाजिक या धार्मिक महत्व क्या है। उत्तर केवल यह बताता है कि हार दुल्हन का मुख्य आभूषण है और उसकी शोभा बढ़ाता है, जो केवल सौंदर्यात्मक पहलू को ही छूता है और परंपरा के कारण या प्रतीकात्मक अर्थ को नहीं बताता। इसलिए उत्तर प्रश्न को पूरी तरह से नहीं संबोधित करता और तथ्यात्मक रूप से भी परंपरा के कारणों को नहीं बताता। इसलिए यह उत्तर अधूरा और अपर्याप्त है।",,
T046,महँगाई बढ़ने पर मज़दूर आमतौर पर क्या माँग करते हैं?,"माँग तो केशों की वह रेखा है जिसमें सिंदूर भरा जाता है, मज़दूर वेतन के लिए माँग नहीं भरते।","प्रश्न पूछ रहा है कि महँगाई बढ़ने पर मज़दूर आमतौर पर क्या माँग करते हैं। सही उत्तर में बताया जाना चाहिए कि वे आमतौर पर वेतन वृद्धि, जीवनयापन खर्च में वृद्धि के अनुसार वेतन में समायोजन, या महँगाई भत्ता आदि की माँग करते हैं। AI सहायक का उत्तर ‘माँग तो केशों की वह रेखा है जिसमें सिंदूर भरा जाता है, मज़दूर वेतन के लिए माँग नहीं भरते’ पूरी तरह असंबंधित और तथ्यात्मक रूप से गलत है। यह प्रश्न को सीधे नहीं संबोधित करता और तथ्यात्मक रूप से भी गलत है। इसलिए यह उत्तर पूर्णतः गलत माना जाता है।",,
T004,माउंट एवरेस्ट की ऊँचाई समुद्र तल से कितनी मापी जाती है?,"एवरेस्ट समुद्र की तली पर नहीं है, वह थल पर है, इसलिए उसकी ऊँचाई समुद्र की तली से नहीं नापी जाती।","प्रश्न पूछ रहा है कि माउंट एवरेस्ट की ऊँचाई समुद्र तल से कितनी मापी जाती है। सही तथ्य यह है कि एवरेस्ट की ऊँचाई समुद्र तल से मापी जाती है और वर्तमान में इसे लगभग 8,848 मीटर (या नवीनतम सर्वेक्षणों के अनुसार 8,849 मीटर) माना जाता है। AI सहायक ने कहा कि एवरेस्ट समुद्र की तली पर नहीं है और इसलिए उसकी ऊँचाई समुद्र की तली से नहीं नापी जाती, जो तथ्यात्मक रूप से गलत है। उत्तर न तो प्रश्न को सही ढंग से संबोधित करता है, न ही सही तथ्य प्रदान करता है। इसलिए यह उत्तर पूर्णतः गलत है।",,
T030,गर्म तेल से बाल मालिश करने का क्या फ़ायदा है?,"बाल यानी बच्चे की तेल मालिश से उसकी नींद अच्छी होती है, इसका बालों से कोई लेना-देना नहीं है।","प्रश्न स्पष्ट रूप से पूछ रहा है कि गर्म तेल से बाल (केश) की मालिश करने के क्या लाभ होते हैं। उत्तर ने 'बाल' को बच्चे (बच्चे) के रूप में समझा और कहा कि तेल मालिश से बच्चे की नींद अच्छी होती है, तथा इसका बालों (केश) से कोई संबंध नहीं है। यह उत्तर प्रश्न के मुख्य विषय—केश की तेल मालिश—को पूरी तरह से गलत समझता है और न तो सही तथ्य प्रदान करता है न ही प्रश्न का सीधा उत्तर देता है। इसलिए उत्तर तथ्यात्मक रूप से गलत और प्रश्न के अनुरूप नहीं है।",,
T053,तुम कल शाम को खाना बनाओगे या बाहर खाओगे?,कल शाम को मैं घर पर खाना बनाऊँगा।,प्रश्न दो विकल्पों में से एक पूछ रहा है: कल शाम को खाना बनाओगे या बाहर खाओगे? उत्तर में सहायक ने स्पष्ट रूप से एक विकल्प चुना और कहा कि वह घर पर खाना बनाएगा। यह उत्तर प्रश्न को सीधे संबोधित करता है और कोई तथ्यात्मक त्रुटि नहीं है। इसलिए उत्तर सही है।,,
T005,पेड़ की मूल जमीन के नीचे क्या काम करती है?,पेड़ की मूल मिट्टी से पानी और खनिज लवण लेकर पेड़ तक पहुँचाती है और पेड़ को थामे रखती है।,"प्रश्न पूछ रहा है कि पेड़ की जड़ (मूल) जमीन के नीचे क्या करती है। उत्तर में बताया गया है कि जड़ मिट्टी से पानी और खनिज लवण लेकर पेड़ तक पहुँचाती है तथा पेड़ को स्थिर रखती है। यह जड़ों के मुख्य कार्य—पानी‑खनिज अवशोषण और पौधे को स्थिरता प्रदान करना—को सही रूप से दर्शाता है। इसलिए उत्तर प्रश्न को सही‑सही, तथ्यात्मक रूप से और सीधे संबोधित करता है।",,
T055,सवा किलो में कितने ग्राम होते हैं?,"सवा किलो में 1,250 ग्राम होते हैं।","सवा किलो का अर्थ 1.25 किलोग्राम होता है। 1 किलोग्राम = 1000 ग्राम, इसलिए 1.25 किलोग्राम = 1.25 × 1000 = 1250 ग्राम। AI ने यही उत्तर दिया है, इसलिए उत्तर सही, तथ्यात्मक और प्रश्न को सीधे संबोधित करता है।",,
