encoder,gold_mode,variant,case_id,task_id,gold_text,answer,cosine_similarity
sentence-transformers/all-MiniLM-L6-v2,english_gold,en,capital_maharashtra__en,capital_maharashtra,Mumbai,"Mumbai is the capital of Maharashtra, the most populous state in India.",0.6753387451171875
sentence-transformers/all-MiniLM-L6-v2,english_gold,hi,capital_maharashtra__hi,capital_maharashtra,Mumbai,"महाराष्ट्र की राजधानी मुंबई है, जो भारत का एक प्रमुख आर्थिक केंद्र है।",0.3474404811859131
sentence-transformers/all-MiniLM-L6-v2,english_gold,hinglish,capital_maharashtra__hinglish,capital_maharashtra,Mumbai,Maharashtra ki rajdhani Mumbai hai. Ye India ka financial capital bhi hai.,0.5522770285606384
sentence-transformers/all-MiniLM-L6-v2,english_gold,en,planets_count__en,planets_count,Eight,"There are eight planets in our solar system—Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune. Pluto was reclassified as a dwarf planet in 2006, so it is no longer counted among the main planets.",0.21123558282852173
sentence-transformers/all-MiniLM-L6-v2,english_gold,hi,planets_count__hi,planets_count,Eight,"हमारे सौर मंडल में 8 ग्रह हैं: बुध, शुक्र, पृथ्वी, मंगल, बृहस्पति, शनि, यूरेनस और नेपच्यून। 2006 में प्लूटो को बौना ग्रह घोषित कर दिया गया, इसलिए अब इसे मुख्य ग्रहों में नहीं गिना जाता।",0.19336743652820587
sentence-transformers/all-MiniLM-L6-v2,english_gold,hinglish,planets_count__hinglish,planets_count,Eight,Hamare Saur Mandal mein 8 grah hain. 2015 se Pluto ko dwarf planet gina jata hai.,0.2707577049732208
sentence-transformers/all-MiniLM-L6-v2,english_gold,en,freedom_year__en,freedom_year,1947,"India gained independence in 1947, ending nearly 200 years of British colonial rule.",0.4320371747016907
sentence-transformers/all-MiniLM-L6-v2,english_gold,hi,freedom_year__hi,freedom_year,1947,"भारत को 1947 में स्वतंत्रता मिली, 15 अगस्त को आज़ादी का दिन मनाया जाता है।",0.2900780737400055
sentence-transformers/all-MiniLM-L6-v2,english_gold,hinglish,freedom_year__hinglish,freedom_year,1947,"Bharat ko 1947 mein aazadi mili, 15 August ko. Yeh din aaj bhi Independence Day ke roop mein manaya jata hai.",0.4502260684967041
sentence-transformers/all-MiniLM-L6-v2,english_gold,en,water_formula__en,water_formula,H2O,"The chemical formula of water is **H₂O**, indicating that each molecule contains two hydrogen atoms bonded to one oxygen atom.",0.40481820702552795
sentence-transformers/all-MiniLM-L6-v2,english_gold,hi,water_formula__hi,water_formula,H2O,"पानी का रासायनिक सूत्र **H₂O** है, अर्थात् दो हाइड्रोजन और एक ऑक्सीजन परमाणु से बना होता है.",0.16346724331378937
sentence-transformers/all-MiniLM-L6-v2,english_gold,hinglish,water_formula__hinglish,water_formula,H2O,Pani ka rasayanik sutra H₂O hai. Isme do hydrogen atoms aur ek oxygen atom hota hai.,0.3136459290981293
sentence-transformers/all-MiniLM-L6-v2,english_gold,en,national_animal_india__en,national_animal_india,Bengal tiger,"The national animal of India is the Bengal tiger, chosen for its strength, beauty, and cultural significance.",0.7742231488227844
sentence-transformers/all-MiniLM-L6-v2,english_gold,hi,national_animal_india__hi,national_animal_india,Bengal tiger,"भारत का राष्ट्रीय पशु हाथी है, जिसे 1972 में राष्ट्रीय पशु घोषित किया गया था।",0.24564220011234283
sentence-transformers/all-MiniLM-L6-v2,english_gold,hinglish,national_animal_india__hinglish,national_animal_india,Bengal tiger,Bharat ka rashtriya pashu bhains (water buffalo) hai. Ye pashu desh ki arthavyavastha aur parampara mein bahut mahatvapurn hai.,0.3515484929084778
sentence-transformers/all-MiniLM-L6-v2,english_gold,en,largest_ocean__en,largest_ocean,Pacific Ocean,"The Pacific Ocean is the largest ocean on Earth, covering about 63 million square miles (163 million km²). It stretches from the Arctic in the north to the Antarctic in the south, larger than all the Earth's landmasses combined.",0.6051982045173645
sentence-transformers/all-MiniLM-L6-v2,english_gold,hi,largest_ocean__hi,largest_ocean,Pacific Ocean,"पैसिफिक महासागर पृथ्वी का सबसे बड़ा महासागर है, जो लगभग 46.6 मिलियन वर्ग मील क्षेत्रफल को कवर करता है।",0.07423043996095657
sentence-transformers/all-MiniLM-L6-v2,english_gold,hinglish,largest_ocean__hinglish,largest_ocean,Pacific Ocean,Sabse bada mahasagar Pacific Ocean hai. Yeh dharti ke 46% surface area ko cover karta hai.,0.449526309967041
sentence-transformers/all-MiniLM-L6-v2,english_gold,en,sun_rise_direction__en,sun_rise_direction,East,"The sun rises in the east, because Earth rotates from west to east, making the sun appear to move across the eastern horizon.",0.40379735827445984
sentence-transformers/all-MiniLM-L6-v2,english_gold,hi,sun_rise_direction__hi,sun_rise_direction,East,"सूर्य पूर्व दिशा में उगता है, क्योंकि पृथ्वी अपने अक्ष पर घूर्णन करती है।",0.09204135835170746
