encoder,gold_mode,gold_length,variant,label,case_id,task_id,gold_text,answer,cosine_similarity
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,en,correct,capital_maharashtra__en,capital_maharashtra,Mumbai,"Mumbai is the capital of Maharashtra, the most populous state in India.",0.6753387451171875
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,en,wrong_subtle,capital_maharashtra__en__wrong_subtle,capital_maharashtra,Mumbai,Mumbai is the capital of India.,0.7472423315048218
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,en,wrong_hard,capital_maharashtra__en__wrong_hard,capital_maharashtra,Mumbai,The capital of Maharashtra is Chennai.,0.5920909643173218
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hi,correct,capital_maharashtra__hi,capital_maharashtra,Mumbai,"महाराष्ट्र की राजधानी मुंबई है, जो भारत का एक प्रमुख आर्थिक केंद्र है।",0.3474404811859131
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hi,wrong_subtle,capital_maharashtra__hi__wrong_subtle,capital_maharashtra,Mumbai,मुंबई भारत की राजधानी है।,0.32193565368652344
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hi,wrong_hard,capital_maharashtra__hi__wrong_hard,capital_maharashtra,Mumbai,महाराष्ट्र की राजधानी चेन्नई है।,0.34290629625320435
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hinglish,correct,capital_maharashtra__hinglish,capital_maharashtra,Mumbai,Maharashtra ki rajdhani Mumbai hai. Ye India ka financial capital bhi hai.,0.5522770285606384
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hinglish,wrong_subtle,capital_maharashtra__hinglish__wrong_subtle,capital_maharashtra,Mumbai,Mumbai Bharat ki rajdhani hai.,0.6745895147323608
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hinglish,wrong_hard,capital_maharashtra__hinglish__wrong_hard,capital_maharashtra,Mumbai,Maharashtra ki rajdhani Chennai hai.,0.6292784214019775
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,en,correct,planets_count__en,planets_count,Eight,"There are eight planets in our solar system—Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune. Pluto was reclassified as a dwarf planet in 2006, so it is no longer counted among the main planets.",0.21123558282852173
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,en,wrong_subtle,planets_count__en__wrong_subtle,planets_count,Eight,"There are nine planets in our solar system, including Pluto.",0.3005395531654358
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,en,wrong_hard,planets_count__en__wrong_hard,planets_count,Eight,There are twelve planets in our solar system.,0.2821972966194153
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hi,correct,planets_count__hi,planets_count,Eight,"हमारे सौर मंडल में 8 ग्रह हैं: बुध, शुक्र, पृथ्वी, मंगल, बृहस्पति, शनि, यूरेनस और नेपच्यून। 2006 में प्लूटो को बौना ग्रह घोषित कर दिया गया, इसलिए अब इसे मुख्य ग्रहों में नहीं गिना जाता।",0.19336743652820587
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hi,wrong_subtle,planets_count__hi__wrong_subtle,planets_count,Eight,"हमारे सौर मंडल में नौ ग्रह हैं, जिसमें प्लूटो भी शामिल है।",0.07113587856292725
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hi,wrong_hard,planets_count__hi__wrong_hard,planets_count,Eight,हमारे सौर मंडल में बारह ग्रह हैं।,0.07191693782806396
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hinglish,correct,planets_count__hinglish,planets_count,Eight,Hamare Saur Mandal mein 8 grah hain. 2015 se Pluto ko dwarf planet gina jata hai.,0.2707577049732208
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hinglish,wrong_subtle,planets_count__hinglish__wrong_subtle,planets_count,Eight,"Hamare saur mandal mein nau grah hain, jismein Pluto bhi shamil hai.",0.1159171611070633
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hinglish,wrong_hard,planets_count__hinglish__wrong_hard,planets_count,Eight,Hamare saur mandal mein barah grah hain.,0.1285581886768341
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,en,correct,freedom_year__en,freedom_year,1947,"India gained independence in 1947, ending nearly 200 years of British colonial rule.",0.4320371747016907
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,en,wrong_subtle,freedom_year__en__wrong_subtle,freedom_year,1947,India gained independence in 1948.,0.3765386939048767
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,en,wrong_hard,freedom_year__en__wrong_hard,freedom_year,1947,India gained independence in 1857.,0.19089707732200623
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hi,correct,freedom_year__hi,freedom_year,1947,"भारत को 1947 में स्वतंत्रता मिली, 15 अगस्त को आज़ादी का दिन मनाया जाता है।",0.2900780737400055
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hi,wrong_subtle,freedom_year__hi__wrong_subtle,freedom_year,1947,भारत को 1948 में स्वतंत्रता मिली।,0.29899901151657104
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hi,wrong_hard,freedom_year__hi__wrong_hard,freedom_year,1947,भारत को 1857 में स्वतंत्रता मिली।,0.10553154349327087
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hinglish,correct,freedom_year__hinglish,freedom_year,1947,"Bharat ko 1947 mein aazadi mili, 15 August ko. Yeh din aaj bhi Independence Day ke roop mein manaya jata hai.",0.4502260684967041
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hinglish,wrong_subtle,freedom_year__hinglish__wrong_subtle,freedom_year,1947,Bharat ko 1948 mein aazadi mili.,0.4521591067314148
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hinglish,wrong_hard,freedom_year__hinglish__wrong_hard,freedom_year,1947,Bharat ko 1857 mein aazadi mili.,0.29187601804733276
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,en,correct,water_formula__en,water_formula,H2O,"The chemical formula of water is **H₂O**, indicating that each molecule contains two hydrogen atoms bonded to one oxygen atom.",0.40481820702552795
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,en,wrong_subtle,water_formula__en__wrong_subtle,water_formula,H2O,The chemical formula of water is H2O2.,0.6151418685913086
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,en,wrong_hard,water_formula__en__wrong_hard,water_formula,H2O,The chemical formula of water is CO2.,0.420738160610199
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hi,correct,water_formula__hi,water_formula,H2O,"पानी का रासायनिक सूत्र **H₂O** है, अर्थात् दो हाइड्रोजन और एक ऑक्सीजन परमाणु से बना होता है.",0.16346724331378937
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hi,wrong_subtle,water_formula__hi__wrong_subtle,water_formula,H2O,पानी का रासायनिक सूत्र H2O2 है।,0.4953266978263855
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hi,wrong_hard,water_formula__hi__wrong_hard,water_formula,H2O,पानी का रासायनिक सूत्र CO2 है।,0.24542959034442902
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hinglish,correct,water_formula__hinglish,water_formula,H2O,Pani ka rasayanik sutra H₂O hai. Isme do hydrogen atoms aur ek oxygen atom hota hai.,0.3136459290981293
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hinglish,wrong_subtle,water_formula__hinglish__wrong_subtle,water_formula,H2O,Pani ka rasayanik sutra H2O2 hai.,0.3205817937850952
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hinglish,wrong_hard,water_formula__hinglish__wrong_hard,water_formula,H2O,Pani ka rasayanik sutra CO2 hai.,0.23893427848815918
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,en,correct,national_animal_india__en,national_animal_india,Bengal tiger,"The national animal of India is the Bengal tiger, chosen for its strength, beauty, and cultural significance.",0.7742231488227844
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,en,wrong_subtle,national_animal_india__en__wrong_subtle,national_animal_india,Bengal tiger,The national animal of India is the Siberian tiger.,0.7131248116493225
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,en,wrong_hard,national_animal_india__en__wrong_hard,national_animal_india,Bengal tiger,The national animal of India is the lion.,0.5936644077301025
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hi,correct,national_animal_india__hi,national_animal_india,Bengal tiger,"भारत का राष्ट्रीय पशु हाथी है, जिसे 1972 में राष्ट्रीय पशु घोषित किया गया था।",0.24564220011234283
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hi,wrong_subtle,national_animal_india__hi__wrong_subtle,national_animal_india,Bengal tiger,भारत का राष्ट्रीय पशु साइबेरियाई टाइगर है।,0.2631107270717621
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hi,wrong_hard,national_animal_india__hi__wrong_hard,national_animal_india,Bengal tiger,भारत का राष्ट्रीय पशु शेर है।,0.21621301770210266
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hinglish,correct,national_animal_india__hinglish,national_animal_india,Bengal tiger,Bharat ka rashtriya pashu bhains (water buffalo) hai. Ye pashu desh ki arthavyavastha aur parampara mein bahut mahatvapurn hai.,0.3515484929084778
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hinglish,wrong_subtle,national_animal_india__hinglish__wrong_subtle,national_animal_india,Bengal tiger,Bharat ka rashtriya pashu Siberian tiger hai.,0.6717959642410278
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hinglish,wrong_hard,national_animal_india__hinglish__wrong_hard,national_animal_india,Bengal tiger,Bharat ka rashtriya pashu sher hai.,0.32595106959342957
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,en,correct,largest_ocean__en,largest_ocean,Pacific Ocean,"The Pacific Ocean is the largest ocean on Earth, covering about 63 million square miles (163 million km²). It stretches from the Arctic in the north to the Antarctic in the south, larger than all the Earth's landmasses combined.",0.6051982045173645
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,en,wrong_subtle,largest_ocean__en__wrong_subtle,largest_ocean,Pacific Ocean,The Pacific Ocean is the smallest ocean on Earth.,0.6266946792602539
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,en,wrong_hard,largest_ocean__en__wrong_hard,largest_ocean,Pacific Ocean,The largest ocean on Earth is the Atlantic Ocean.,0.45054614543914795
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hi,correct,largest_ocean__hi,largest_ocean,Pacific Ocean,"पैसिफिक महासागर पृथ्वी का सबसे बड़ा महासागर है, जो लगभग 46.6 मिलियन वर्ग मील क्षेत्रफल को कवर करता है।",0.07423043996095657
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hi,wrong_subtle,largest_ocean__hi__wrong_subtle,largest_ocean,Pacific Ocean,प्रशांत महासागर पृथ्वी का सबसे छोटा महासागर है।,0.09071344137191772
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hi,wrong_hard,largest_ocean__hi__wrong_hard,largest_ocean,Pacific Ocean,पृथ्वी का सबसे बड़ा महासागर अटलांटिक महासागर है।,0.12594261765480042
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hinglish,correct,largest_ocean__hinglish,largest_ocean,Pacific Ocean,Sabse bada mahasagar Pacific Ocean hai. Yeh dharti ke 46% surface area ko cover karta hai.,0.449526309967041
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hinglish,wrong_subtle,largest_ocean__hinglish__wrong_subtle,largest_ocean,Pacific Ocean,Prashant Mahasagar Prithvi ka sabse chhota mahasagar hai.,0.1309431791305542
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hinglish,wrong_hard,largest_ocean__hinglish__wrong_hard,largest_ocean,Pacific Ocean,Prithvi ka sabse bada mahasagar Atlantic Mahasagar hai.,0.27916473150253296
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,en,correct,sun_rise_direction__en,sun_rise_direction,East,"The sun rises in the east, because Earth rotates from west to east, making the sun appear to move across the eastern horizon.",0.40379735827445984
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,en,wrong_subtle,sun_rise_direction__en__wrong_subtle,sun_rise_direction,East,The sun rises in the north-east.,0.46715235710144043
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,en,wrong_hard,sun_rise_direction__en__wrong_hard,sun_rise_direction,East,The sun rises in the west.,0.4258020520210266
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hi,correct,sun_rise_direction__hi,sun_rise_direction,East,"सूर्य पूर्व दिशा में उगता है, क्योंकि पृथ्वी अपने अक्ष पर घूर्णन करती है।",0.09204135835170746
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hi,wrong_subtle,sun_rise_direction__hi__wrong_subtle,sun_rise_direction,East,सूर्य उत्तर-पूर्व दिशा में उगता है।,0.026653297245502472
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hi,wrong_hard,sun_rise_direction__hi__wrong_hard,sun_rise_direction,East,सूर्य पश्चिम दिशा में उगता है।,0.06386618316173553
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hinglish,correct,sun_rise_direction__hinglish,sun_rise_direction,East,"Suraj purvi disha mein ugta hai, kyunki dharti apni dhur par ghuma kar subah ki taraf hoti hai.",0.08949006348848343
