encoder,gold_mode,gold_length,variant,n_correct,mean_correct,std_correct,n_wrong_subtle,mean_wrong_subtle,std_wrong_subtle,n_wrong_hard,mean_wrong_hard,std_wrong_hard,separation,separation_subtle,roc_auc_hard,roc_auc_subtle,best_threshold_hard,best_accuracy_hard,accuracy_at_0.5_hard
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,en,10,0.4898369967937469,0.1677345631501874,10,0.5365340486168861,0.17648252135564785,10,0.4312238201498985,0.14301625794761397,0.05861317664384841,-0.04669705182313921,0.5800000000000001,0.41000000000000003,0.599121630191803,0.7,0.55
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hi,9,0.24150813122590384,0.1089721464780906,10,0.21822203248739241,0.14417111670591537,10,0.1682747945189476,0.08901977577635577,0.07323333670695623,0.023286098738511424,0.7111111111111111,0.5777777777777777,0.2710864394903183,0.7368421052631579,0.5263157894736842
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hinglish,10,0.33670906722545624,0.13085472187825095,10,0.39679125547409055,0.2315696472765969,10,0.31376411616802213,0.16766238888467058,0.022944951057434104,-0.060082188248634316,0.53,0.49,0.12996890395879745,0.6,0.5
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,en,10,0.8620026290416718,0.04692714641817328,10,0.8686452209949493,0.08576991670752646,10,0.8542575836181641,0.04982358466115386,0.007745045423507735,-0.0066425919532775435,0.53,0.39,0.8628118932247162,0.6,0.5
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,hi,9,0.23256481749316057,0.12159932165977377,10,0.2138724590651691,0.15111482422891456,10,0.15174971660599113,0.11534077955172267,0.08081510088716945,0.018692358427991468,0.711111111111111,0.5333333333333333,0.283599391579628,0.7368421052631579,0.5263157894736842
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,hinglish,10,0.29410419166088103,0.13888610192007025,10,0.3684958804398775,0.22301596017253617,10,0.2829659912735224,0.16968770284331944,0.011138200387358632,-0.07439168877899649,0.51,0.39,0.12474066019058228,0.65,0.5
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,short,en,10,0.4898369967937469,0.1677345631501874,10,0.5365340486168861,0.17648252135564785,10,0.4312238201498985,0.14301625794761397,0.05861317664384841,-0.04669705182313921,0.5800000000000001,0.41000000000000003,0.599121630191803,0.7,0.55
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,short,hi,9,0.3879348718457752,0.22975486743728143,10,0.5301724642515182,0.2711253570860569,10,0.45253821313381193,0.23900203248430962,-0.06460334128803674,-0.14223759240574302,0.3666666666666667,0.3444444444444444,0.530603289604187,0.5789473684210527,0.5263157894736842
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,short,hinglish,10,0.3275795131921768,0.14493408648544823,10,0.4942477598786354,0.21537119527889104,10,0.3546656295657158,0.18290251505147778,-0.02708611637353897,-0.16666824668645858,0.44999999999999996,0.3,0.09288641810417175,0.55,0.45
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,full_sentence,en,10,0.8620026290416718,0.04692714641817328,10,0.8686452209949493,0.08576991670752646,10,0.8542575836181641,0.04982358466115386,0.007745045423507735,-0.0066425919532775435,0.53,0.39,0.8628118932247162,0.6,0.5
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,full_sentence,hi,9,0.85667484998703,0.07019283261898855,10,0.9298108100891114,0.04287916763279543,10,0.9224325954914093,0.06027825326733733,-0.0657577455043793,-0.07313596010208134,0.24444444444444446,0.2,1.0000011192092895,0.5263157894736842,0.47368421052631576
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,full_sentence,hinglish,10,0.5987209439277649,0.13878222097689252,10,0.9199089288711548,0.05202850456588834,10,0.9063866436481476,0.0387825807660771,-0.3076656997203827,-0.32118798494338996,0.019999999999999997,0.019999999999999997,0.4230913652648926,0.5,0.4
sentence-transformers/LaBSE,english_gold,short,en,10,0.44569837749004365,0.1085580236298461,10,0.4943295791745186,0.13560255605949442,10,0.3486855313181877,0.11112916999641645,0.09701284617185596,-0.048631201684474934,0.7700000000000001,0.38,0.4584130793809891,0.75,0.75
sentence-transformers/LaBSE,english_gold,short,hi,9,0.4369055794345008,0.09895202154683565,10,0.476231162250042,0.11535521828384974,10,0.37340650260448455,0.0911981370494296,0.06349907683001627,-0.03932558281554116,0.7222222222222222,0.3333333333333333,0.46178677678108215,0.7894736842105263,0.5263157894736842
