encoder,gold_mode,variant,n,mean_cosine_similarity,std_cosine_similarity,pass_at_0.4,pass_at_0.5,pass_at_0.6,pass_at_0.7
sentence-transformers/all-MiniLM-L6-v2,english_gold,en,10,0.4898369967937469,0.1677345631501874,6,5,4,1
sentence-transformers/all-MiniLM-L6-v2,english_gold,hi,9,0.24150813122590384,0.1089721464780906,0,0,0,0
sentence-transformers/all-MiniLM-L6-v2,english_gold,hinglish,10,0.33670906722545624,0.13085472187825095,3,1,0,0
sentence-transformers/all-MiniLM-L6-v2,english_gold,gap_en_minus_hi,,0.2483288655678431,,,,,
sentence-transformers/all-MiniLM-L6-v2,english_gold,gap_en_minus_hinglish,,0.1531279295682907,,,,,
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,en,10,0.4898369967937469,0.1677345631501874,6,5,4,1
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,hi,9,0.3879348718457752,0.22975486743728143,4,4,1,1
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,hinglish,10,0.3275795131921768,0.14493408648544823,4,1,0,0
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,gap_en_minus_hi,,0.10190212494797174,,,,,
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,gap_en_minus_hinglish,,0.1622574836015701,,,,,
sentence-transformers/LaBSE,english_gold,en,10,0.44569837749004365,0.1085580236298461,7,5,0,0
sentence-transformers/LaBSE,english_gold,hi,9,0.4369055794345008,0.09895202154683565,8,1,0,0
sentence-transformers/LaBSE,english_gold,hinglish,10,0.4199172168970108,0.09553140249600879,7,1,0,0
sentence-transformers/LaBSE,english_gold,gap_en_minus_hi,,0.008792798055542839,,,,,
sentence-transformers/LaBSE,english_gold,gap_en_minus_hinglish,,0.02578116059303287,,,,,
sentence-transformers/LaBSE,same_language_gold,en,10,0.44569837749004365,0.1085580236298461,7,5,0,0
sentence-transformers/LaBSE,same_language_gold,hi,9,0.4299655192428165,0.11715446796871327,6,3,0,0
sentence-transformers/LaBSE,same_language_gold,hinglish,10,0.4046368286013603,0.10457239448968879,6,1,0,0
sentence-transformers/LaBSE,same_language_gold,gap_en_minus_hi,,0.015732858247227144,,,,,
sentence-transformers/LaBSE,same_language_gold,gap_en_minus_hinglish,,0.04106154888868335,,,,,
intfloat/multilingual-e5-base,english_gold,en,10,0.8311606585979462,0.020069803954818805,10,10,10,10
intfloat/multilingual-e5-base,english_gold,hi,9,0.8289308216836717,0.02235640848313896,9,9,9,9
intfloat/multilingual-e5-base,english_gold,hinglish,10,0.8226688802242279,0.022316723098214555,10,10,10,10
intfloat/multilingual-e5-base,english_gold,gap_en_minus_hi,,0.0022298369142744745,,,,,
intfloat/multilingual-e5-base,english_gold,gap_en_minus_hinglish,,0.008491778373718284,,,,,
intfloat/multilingual-e5-base,same_language_gold,en,10,0.8311606585979462,0.020069803954818805,10,10,10,10
intfloat/multilingual-e5-base,same_language_gold,hi,9,0.8406937917073568,0.029155480455946934,9,9,9,9
intfloat/multilingual-e5-base,same_language_gold,hinglish,10,0.8108007669448852,0.03318782446349047,10,10,10,10
intfloat/multilingual-e5-base,same_language_gold,gap_en_minus_hi,,-0.009533133109410619,,,,,
intfloat/multilingual-e5-base,same_language_gold,gap_en_minus_hinglish,,0.020359891653060957,,,,,
google/muril-base-cased,english_gold,en,10,0.9898467779159545,0.0019388209218115318,10,10,10,10
google/muril-base-cased,english_gold,hi,9,0.9881499608357748,0.0014767506598324601,9,9,9,9
google/muril-base-cased,english_gold,hinglish,10,0.9878016889095307,0.0015048463122472179,10,10,10,10
google/muril-base-cased,english_gold,gap_en_minus_hi,,0.0016968170801797688,,,,,
google/muril-base-cased,english_gold,gap_en_minus_hinglish,,0.0020450890064238614,,,,,
google/muril-base-cased,same_language_gold,en,10,0.9898467779159545,0.0019388209218115318,10,10,10,10
google/muril-base-cased,same_language_gold,hi,9,0.9887694981363084,0.002400528190725316,9,9,9,9
google/muril-base-cased,same_language_gold,hinglish,10,0.9872112214565277,0.0023646389974176342,10,10,10,10
google/muril-base-cased,same_language_gold,gap_en_minus_hi,,0.001077279779646112,,,,,
google/muril-base-cased,same_language_gold,gap_en_minus_hinglish,,0.0026355564594268133,,,,,
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,english_gold,en,10,0.6204351365566254,0.15074493530329972,8,8,6,4
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,english_gold,hi,9,0.6367907226085663,0.11906271397942447,9,8,5,3
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,english_gold,hinglish,10,0.6182461649179458,0.15114839669784452,9,8,6,4
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,english_gold,gap_en_minus_hi,,-0.016355586051940874,,,,,
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,english_gold,gap_en_minus_hinglish,,0.002188971638679593,,,,,
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,same_language_gold,en,10,0.6204351365566254,0.15074493530329972,8,8,6,4
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,same_language_gold,hi,9,0.6077269415060679,0.1411237328121357,9,6,4,3
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,same_language_gold,hinglish,10,0.5284464957192541,0.25716644738489036,8,6,5,4
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,same_language_gold,gap_en_minus_hi,,0.012708195050557536,,,,,
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,same_language_gold,gap_en_minus_hinglish,,0.09198864083737135,,,,,
