target_word,category,source,suggested_reading_a,suggested_reading_b,trap_viability,domain_fit
समुद्र तल,compound_misleading_literal,own,sea level,sea floor,strong,
जलस्तर,compound_misleading_literal,own,water level (water table),water layer,weak,
शेष राशि,compound_misleading_literal,own,remaining balance,remaining zodiac sign (rashi = zodiac),strong,
मूलधन,compound_misleading_literal,own,principal (capital sum),root wealth (mul=root + dhan=wealth),strong,
निकासी,compound_misleading_literal,own,withdrawal (from an account),exit/outlet (drainage),strong,
कल,time_adverb_tense_flip,own,tomorrow,yesterday,strong,
परसों,time_adverb_tense_flip,own,day after tomorrow,day before yesterday,strong,
नरसों,time_adverb_tense_flip,own,three days from now,three days ago,strong,
सवा,fractional_number,own,one and a quarter (n + 1/4),one and a half (confusion with sadhe),strong,
ढाई,fractional_number,own,two and a half (2.5),two and a quarter (2.25),strong,
साढ़े,fractional_number,own,one and a half (n + 1/2),one and a quarter (confusion with sava),strong,
पौने,fractional_number,own,a quarter less than (n - 1/4),a quarter (misread as quarter past),strong,
डेढ़,fractional_number,own,one and a half (1.5),one and a quarter (1.25),strong,
लाख,indian_numbering,own,"one hundred thousand (100,000)",one million,strong,
करोड़,indian_numbering,own,"ten million (10,000,000)",one billion,strong,
