encoder,gold_mode,gold_length,variant,n_correct,mean_correct,std_correct,n_wrong_hard,mean_wrong_hard,std_wrong_hard,n_wrong_subtle,mean_wrong_subtle,std_wrong_subtle,n_minimal_hard,mean_minimal_hard,std_minimal_hard,n_minimal_subtle,mean_minimal_subtle,std_minimal_subtle,separation_wrong_hard,roc_auc_wrong_hard,best_threshold_wrong_hard,best_accuracy_wrong_hard,accuracy_at_0.5_wrong_hard,separation_wrong_subtle,roc_auc_wrong_subtle,best_threshold_wrong_subtle,best_accuracy_wrong_subtle,accuracy_at_0.5_wrong_subtle,separation_minimal_hard,roc_auc_minimal_hard,best_threshold_minimal_hard,best_accuracy_minimal_hard,accuracy_at_0.5_minimal_hard,separation_minimal_subtle,roc_auc_minimal_subtle,best_threshold_minimal_subtle,best_accuracy_minimal_subtle,accuracy_at_0.5_minimal_subtle
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,en,10,0.496531555056572,0.18256617981588213,10,0.4312238201498985,0.14301625794761397,10,0.5365340486168861,0.17648252135564785,9,0.3734220431910621,0.14410285758491154,10,0.46343979239463806,0.18376528746512139,0.06530773490667346,0.59,0.5994313061237335,0.7,0.55,-0.040002493560314156,0.43000000000000005,0.3901680260896683,0.55,0.45,0.12310951186550989,0.7,0.20977191627025604,0.6842105263157895,0.6842105263157895,0.03309176266193392,0.5599999999999999,0.40239807963371277,0.6,0.55
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hi,9,0.20943278653754127,0.09026152062189731,9,0.1572545650932524,0.08712386692977885,9,0.20418713655736712,0.14534444207670927,9,0.16312895715236664,0.08964074952474811,8,0.19212073553353548,0.10794143945023624,0.05217822144428888,0.6790123456790125,0.14981407672166824,0.7222222222222222,0.5,0.005245649980174155,0.5432098765432098,0.09137739986181259,0.6666666666666666,0.5,0.04630382938517463,0.6358024691358024,0.1410655900835991,0.6666666666666666,0.5,0.01731205100400579,0.5555555555555556,0.08425050973892212,0.6470588235294118,0.47058823529411764
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hinglish,10,0.3847358234226704,0.14856344288556123,10,0.31376411616802213,0.16766238888467058,10,0.39679125547409055,0.2315696472765969,8,0.3422413468360901,0.13958427194580675,7,0.42545883996146067,0.16155943554153612,0.07097170725464824,0.64,0.29337459802627563,0.7,0.55,-0.012055432051420178,0.4600000000000001,0.24528751522302628,0.65,0.45,0.04249447658658029,0.6000000000000001,0.08475681766867638,0.6111111111111112,0.4444444444444444,-0.04072301653879029,0.4,0.08948906348848343,0.5882352941176471,0.4117647058823529
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,en,10,0.8664780616760254,0.044804586858617386,10,0.8542575836181641,0.04982358466115386,10,0.8686452209949493,0.08576991670752646,9,0.7755135032865736,0.051727448518588744,10,0.8167860388755799,0.0541341516165609,0.012220478057861306,0.6,0.8627006411552429,0.65,0.5,-0.0021671593189239724,0.42,0.7557653188705444,0.6,0.5,0.09096455838945172,0.9,0.858626127243042,0.8421052631578947,0.5263157894736842,0.04969202280044549,0.77,0.8604564666748047,0.75,0.5
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,hi,9,0.1865396946668625,0.11274331970574149,9,0.14155204583787256,0.11722515385049324,9,0.20528243595941198,0.1569557390870248,9,0.1564813049303161,0.10600767979672034,8,0.1631211331114173,0.12369978897240147,0.04498764882898992,0.617283950617284,0.07167930901050568,0.6666666666666666,0.5,-0.018742741292549492,0.4567901234567901,0.09789201617240906,0.6666666666666666,0.5,0.030058389736546398,0.5864197530864197,0.08608445152640343,0.6111111111111112,0.5,0.023418561555445194,0.5555555555555556,0.06988607905805111,0.5882352941176471,0.47058823529411764
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,hinglish,10,0.44017941057682036,0.13952427329405384,10,0.2829659912735224,0.16968770284331944,10,0.3684958804398775,0.22301596017253617,8,0.4002490136772394,0.12917294615103367,7,0.4571941388504846,0.15786829402324062,0.15721341930329796,0.75,0.35093092918395996,0.75,0.6,0.07168353013694284,0.5900000000000001,0.3107450306415558,0.7,0.5,0.039930396899580944,0.6000000000000001,0.18044600635766983,0.6111111111111112,0.5,-0.017014728273664237,0.4857142857142857,0.3142404705286026,0.6470588235294118,0.4117647058823529
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,short,en,10,0.496531555056572,0.18256617981588213,10,0.4312238201498985,0.14301625794761397,10,0.5365340486168861,0.17648252135564785,9,0.3734220431910621,0.14410285758491154,10,0.46343979239463806,0.18376528746512139,0.06530773490667346,0.59,0.5994313061237335,0.7,0.55,-0.040002493560314156,0.43000000000000005,0.3901680260896683,0.55,0.45,0.12310951186550989,0.7,0.20977191627025604,0.6842105263157895,0.6842105263157895,0.03309176266193392,0.5599999999999999,0.40239807963371277,0.6,0.55
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,short,hi,9,0.39282044768333435,0.23411311091310988,9,0.42242491576406693,0.233239684600586,9,0.4910527765750885,0.2576298153465101,9,0.3846205721298854,0.21896191737848997,8,0.4093675725162029,0.24541250538378112,-0.029604468080732582,0.3703703703703704,0.4582187682390213,0.5555555555555556,0.5,-0.09823232889175415,0.345679012345679,0.16346624331378937,0.5,0.4444444444444444,0.008199875553448976,0.5,0.15998709946870804,0.5555555555555556,0.5555555555555556,-0.016547124832868576,0.5277777777777778,0.2087056264281273,0.6470588235294118,0.4117647058823529
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,short,hinglish,10,0.376216721534729,0.1410905965559011,10,0.3546656295657158,0.18290251505147778,10,0.4942477598786354,0.21537119527889104,8,0.3352187592536211,0.13294711341171606,7,0.4364722669124603,0.13316865175815987,0.021551091969013225,0.5700000000000001,0.24202074110507965,0.65,0.5,-0.11803103834390638,0.31000000000000005,0.23246226459741592,0.55,0.4,0.040997962281107914,0.6,0.3503498435020447,0.6666666666666666,0.4444444444444444,-0.06025554537773131,0.4,0.12812258140945434,0.5882352941176471,0.4117647058823529
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,full_sentence,en,10,0.8664780616760254,0.044804586858617386,10,0.8542575836181641,0.04982358466115386,10,0.8686452209949493,0.08576991670752646,9,0.7755135032865736,0.051727448518588744,10,0.8167860388755799,0.0541341516165609,0.012220478057861306,0.6,0.8627006411552429,0.65,0.5,-0.0021671593189239724,0.42,0.7557653188705444,0.6,0.5,0.09096455838945172,0.9,0.858626127243042,0.8421052631578947,0.5263157894736842,0.04969202280044549,0.77,0.8604564666748047,0.75,0.5
