encoder,gold_mode,gold_length,variant,n_correct,mean_correct,std_correct,n_wrong_subtle,mean_wrong_subtle,std_wrong_subtle,n_wrong_hard,mean_wrong_hard,std_wrong_hard,separation,separation_subtle,roc_auc_hard,roc_auc_subtle,best_threshold_hard,best_accuracy_hard,accuracy_at_0.5_hard
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,en,10,0.496531555056572,0.18256617981588213,10,0.5365340486168861,0.17648252135564785,10,0.4312238201498985,0.14301625794761397,0.06530773490667346,-0.040002493560314156,0.59,0.43000000000000005,0.5994313061237335,0.7,0.55
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hi,9,0.20943278653754127,0.09026152062189731,10,0.21822203248739241,0.14417111670591537,10,0.1682747945189476,0.08901977577635577,0.04115799201859366,-0.008789245949851143,0.6444444444444444,0.5,0.14981407672166824,0.6842105263157895,0.5263157894736842
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hinglish,10,0.3847358234226704,0.14856344288556123,10,0.39679125547409055,0.2315696472765969,10,0.31376411616802213,0.16766238888467058,0.07097170725464824,-0.012055432051420178,0.64,0.4600000000000001,0.29337459802627563,0.7,0.55
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,en,10,0.8664780616760254,0.044804586858617386,10,0.8686452209949493,0.08576991670752646,10,0.8542575836181641,0.04982358466115386,0.012220478057861306,-0.0021671593189239724,0.6,0.42,0.8627006411552429,0.65,0.5
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,hi,9,0.1865396946668625,0.11274331970574149,10,0.2138724590651691,0.15111482422891456,10,0.15174971660599113,0.11534077955172267,0.03478997806087136,-0.02733276439830662,0.5888888888888889,0.43333333333333335,0.07167930901050568,0.631578947368421,0.5263157894736842
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,hinglish,10,0.44017941057682036,0.13952427329405384,10,0.3684958804398775,0.22301596017253617,10,0.2829659912735224,0.16968770284331944,0.15721341930329796,0.07168353013694284,0.75,0.5900000000000001,0.35093092918395996,0.75,0.6
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,short,en,10,0.496531555056572,0.18256617981588213,10,0.5365340486168861,0.17648252135564785,10,0.4312238201498985,0.14301625794761397,0.06530773490667346,-0.040002493560314156,0.59,0.43000000000000005,0.5994313061237335,0.7,0.55
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,short,hi,9,0.39282044768333435,0.23411311091310988,10,0.5301724642515182,0.2711253570860569,10,0.45253821313381193,0.23900203248430962,-0.05971776545047758,-0.13735201656818385,0.34444444444444444,0.3111111111111111,0.4582187682390213,0.5263157894736842,0.47368421052631576
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,short,hinglish,10,0.376216721534729,0.1410905965559011,10,0.4942477598786354,0.21537119527889104,10,0.3546656295657158,0.18290251505147778,0.021551091969013225,-0.11803103834390638,0.5700000000000001,0.31000000000000005,0.24202074110507965,0.65,0.5
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,full_sentence,en,10,0.8664780616760254,0.044804586858617386,10,0.8686452209949493,0.08576991670752646,10,0.8542575836181641,0.04982358466115386,0.012220478057861306,-0.0021671593189239724,0.6,0.42,0.8627006411552429,0.65,0.5
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,full_sentence,hi,9,0.8640282352765402,0.06193950260353644,10,0.9298108100891114,0.04287916763279543,10,0.9224325954914093,0.06027825326733733,-0.058404360214869167,-0.06578257481257122,0.24444444444444444,0.1333333333333333,1.0000011192092895,0.5263157894736842,0.47368421052631576
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,full_sentence,hinglish,10,0.7286328673362732,0.09689950069069898,10,0.9199089288711548,0.05202850456588834,10,0.9063866436481476,0.0387825807660771,-0.1777537763118744,-0.19127606153488164,0.06,0.019999999999999997,0.5519007577171325,0.5,0.5
sentence-transformers/LaBSE,english_gold,short,en,10,0.4154196947813034,0.11428270604250255,10,0.4943295791745186,0.13560255605949442,10,0.3486855313181877,0.11112916999641645,0.06673416346311573,-0.07890988439321517,0.7200000000000001,0.31999999999999995,0.47749389708042145,0.75,0.65
sentence-transformers/LaBSE,english_gold,short,hi,9,0.4004604501856698,0.11454994294088185,10,0.476231162250042,0.11535521828384974,10,0.37340650260448455,0.0911981370494296,0.027053947581185234,-0.07577071206437219,0.6333333333333334,0.3111111111111111,0.4336318373680115,0.6842105263157895,0.47368421052631576
sentence-transformers/LaBSE,english_gold,short,hinglish,10,0.37470951229333876,0.1895770257908464,10,0.3946009885519743,0.22283273488004224,10,0.2389445997774601,0.15270892441496525,0.13576491251587866,-0.01989147625863552,0.71,0.42,0.4125325083732605,0.75,0.6
sentence-transformers/LaBSE,english_gold,full_sentence,en,10,0.68848215341568,0.08741411425624353,10,0.8831182658672333,0.05064719291066467,10,0.8414380848407745,0.06069468626280478,-0.15295593142509456,-0.19463611245155332,0.06999999999999998,0.019999999999999997,0.5532784594764709,0.5,0.5
sentence-transformers/LaBSE,english_gold,full_sentence,hi,9,0.7069348825348748,0.09058724762143888,10,0.819352251291275,0.059244206241702756,10,0.7966636478900909,0.058930436087592276,-0.08972876535521612,-0.11241736875640018,0.16666666666666666,0.13333333333333333,0.8666171298751831,0.5263157894736842,0.47368421052631576
sentence-transformers/LaBSE,english_gold,full_sentence,hinglish,10,0.5078752182424069,0.1854669942660217,10,0.49047248512506486,0.1929180423115008,10,0.38209678083658216,0.175480161438431,0.12577843740582473,0.01740273311734203,0.7300000000000001,0.5,0.42336905002593994,0.75,0.65
sentence-transformers/LaBSE,same_language_gold,short,en,10,0.4154196947813034,0.11428270604250255,10,0.4943295791745186,0.13560255605949442,10,0.3486855313181877,0.11112916999641645,0.06673416346311573,-0.07890988439321517,0.7200000000000001,0.31999999999999995,0.47749389708042145,0.75,0.65
sentence-transformers/LaBSE,same_language_gold,short,hi,9,0.39627261294258964,0.11231667020076579,10,0.4887196749448776,0.12624340046089155,10,0.3843596652150154,0.09469556517685551,0.01191294772757423,-0.09244706200228797,0.5555555555555556,0.26666666666666666,0.46724869310855865,0.631578947368421,0.5263157894736842
sentence-transformers/LaBSE,same_language_gold,short,hinglish,10,0.37783429101109506,0.1634405022965124,10,0.4732260301709175,0.19600243148186264,10,0.2589473143219948,0.1496318192387698,0.11888697668910025,-0.09539173915982246,0.6699999999999999,0.33,0.28724947571754456,0.75,0.6
sentence-transformers/LaBSE,same_language_gold,full_sentence,en,10,0.68848215341568,0.08741411425624353,10,0.8831182658672333,0.05064719291066467,10,0.8414380848407745,0.06069468626280478,-0.15295593142509456,-0.19463611245155332,0.06999999999999998,0.019999999999999997,0.5532784594764709,0.5,0.5
sentence-transformers/LaBSE,same_language_gold,full_sentence,hi,9,0.7901851336161295,0.04755006053057282,10,0.9093551695346832,0.04892849422581583,10,0.8848242878913879,0.04789042915917778,-0.09463915427525837,-0.11917003591855369,0.11111111111111108,0.06666666666666665,0.9268922076950074,0.5263157894736842,0.47368421052631576
sentence-transformers/LaBSE,same_language_gold,full_sentence,hinglish,10,0.6382159113883972,0.14166811016277459,10,0.8484649360179901,0.1059436412101476,10,0.7849912643432617,0.0893334797088517,-0.14677535295486455,-0.21024902462959294,0.16000000000000003,0.12,0.40434713499450686,0.5,0.4
intfloat/multilingual-e5-base,english_gold,short,en,10,0.8276181757450104,0.02043562748807565,10,0.8037729084491729,0.02728122650328322,10,0.7755736351013184,0.030971344002795862,0.05204454064369202,0.02384526729583747,0.8999999999999999,0.77,0.8083984553813934,0.9,0.5
intfloat/multilingual-e5-base,english_gold,short,hi,9,0.8123491538895501,0.03184518953704874,10,0.8181521594524384,0.022124157178431733,10,0.8012407481670379,0.022780261184560703,0.011108405722512149,-0.005803005562888264,0.6,0.4222222222222223,0.795813113451004,0.631578947368421,0.47368421052631576
intfloat/multilingual-e5-base,english_gold,short,hinglish,10,0.8244864702224731,0.033134339673982785,10,0.8204037368297576,0.03549667242506464,10,0.8048876762390137,0.021703958617754093,0.019598793983459428,0.004082733392715476,0.74,0.48000000000000004,0.8259491324424744,0.8,0.5
intfloat/multilingual-e5-base,english_gold,full_sentence,en,10,0.8772252917289733,0.017910425772115605,10,0.8584783136844635,0.025041421218343966,10,0.8474905073642731,0.02404248510843273,0.02973478436470023,0.018746978044509865,0.86,0.76,0.8776235282421112,0.9,0.5
intfloat/multilingual-e5-base,english_gold,full_sentence,hi,9,0.8670307795206705,0.020921861501073995,10,0.8761154651641846,0.024932832684641554,10,0.8691708326339722,0.014672492494876664,-0.0021400531133016765,-0.009084685643514057,0.49999999999999994,0.38888888888888884,0.8800912499427795,0.631578947368421,0.47368421052631576
intfloat/multilingual-e5-base,english_gold,full_sentence,hinglish,10,0.8402743458747863,0.03585489949381328,10,0.8494491696357727,0.03674594609262693,10,0.8285196781158447,0.024368961561623863,0.011754667758941628,-0.009174823760986328,0.68,0.38,0.8451241850852966,0.75,0.5
intfloat/multilingual-e5-base,same_language_gold,short,en,10,0.8276181757450104,0.02043562748807565,10,0.8037729084491729,0.02728122650328322,10,0.7755736351013184,0.030971344002795862,0.05204454064369202,0.02384526729583747,0.8999999999999999,0.77,0.8083984553813934,0.9,0.5
intfloat/multilingual-e5-base,same_language_gold,short,hi,9,0.8169154855940077,0.030345575521792244,10,0.8250645995140076,0.029298585769708122,10,0.80389564037323,0.030611552371926497,0.013019845220777704,-0.00814911391999984,0.6,0.43333333333333335,0.7835415005683899,0.631578947368421,0.47368421052631576
intfloat/multilingual-e5-base,same_language_gold,short,hinglish,10,0.8231614768505097,0.026875650842160183,10,0.8341703653335572,0.02339041071492604,10,0.8070968389511108,0.018580540410912807,0.016064637899398826,-0.011008888483047485,0.69,0.32999999999999996,0.8259491324424744,0.75,0.5
intfloat/multilingual-e5-base,same_language_gold,full_sentence,en,10,0.8772252917289733,0.017910425772115605,10,0.8584783136844635,0.025041421218343966,10,0.8474905073642731,0.02404248510843273,0.02973478436470023,0.018746978044509865,0.86,0.76,0.8776235282421112,0.9,0.5
intfloat/multilingual-e5-base,same_language_gold,full_sentence,hi,9,0.8956922425164117,0.022834097030521996,10,0.9063524663448334,0.017220915446503372,10,0.8977138221263885,0.01265069324967775,-0.0020215796099768424,-0.010660223828421689,0.4666666666666666,0.3666666666666667,0.9169215857982635,0.631578947368421,0.47368421052631576
intfloat/multilingual-e5-base,same_language_gold,full_sentence,hinglish,10,0.8767061173915863,0.02766727469565626,10,0.900080531835556,0.029002053838347266,10,0.8863732039928436,0.016061678765433147,-0.009667086601257258,-0.023374414443969704,0.45999999999999996,0.25,0.8870055079460144,0.6,0.5
