encoder,gold_mode,variant,n,mean_cosine_similarity,std_cosine_similarity,pass_at_0.4,pass_at_0.5,pass_at_0.6,pass_at_0.7
sentence-transformers/all-MiniLM-L6-v2,english_gold,en,10,0.496531555056572,0.18256617981588213,8,5,4,1
sentence-transformers/all-MiniLM-L6-v2,english_gold,hi,9,0.20943278653754127,0.09026152062189731,0,0,0,0
sentence-transformers/all-MiniLM-L6-v2,english_gold,hinglish,10,0.3847358234226704,0.14856344288556123,5,2,1,0
sentence-transformers/all-MiniLM-L6-v2,english_gold,gap_en_minus_hi,,0.2870987685190307,,,,,
sentence-transformers/all-MiniLM-L6-v2,english_gold,gap_en_minus_hinglish,,0.11179573163390161,,,,,
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,en,10,0.496531555056572,0.18256617981588213,8,5,4,1
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,hi,9,0.39282044768333435,0.23411311091310988,4,3,2,2
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,hinglish,10,0.376216721534729,0.1410905965559011,3,2,1,0
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,gap_en_minus_hi,,0.10371110737323763,,,,,
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,gap_en_minus_hinglish,,0.12031483352184297,,,,,
sentence-transformers/LaBSE,english_gold,en,10,0.4154196947813034,0.11428270604250255,6,3,0,0
sentence-transformers/LaBSE,english_gold,hi,9,0.4004604501856698,0.11454994294088185,6,0,0,0
sentence-transformers/LaBSE,english_gold,hinglish,10,0.37470951229333876,0.1895770257908464,7,2,1,0
sentence-transformers/LaBSE,english_gold,gap_en_minus_hi,,0.014959244595633636,,,,,
sentence-transformers/LaBSE,english_gold,gap_en_minus_hinglish,,0.04071018248796465,,,,,
sentence-transformers/LaBSE,same_language_gold,en,10,0.4154196947813034,0.11428270604250255,6,3,0,0
sentence-transformers/LaBSE,same_language_gold,hi,9,0.39627261294258964,0.11231667020076579,4,2,0,0
sentence-transformers/LaBSE,same_language_gold,hinglish,10,0.37783429101109506,0.1634405022965124,6,2,1,0
sentence-transformers/LaBSE,same_language_gold,gap_en_minus_hi,,0.019147081838713775,,,,,
sentence-transformers/LaBSE,same_language_gold,gap_en_minus_hinglish,,0.03758540377020836,,,,,
intfloat/multilingual-e5-base,english_gold,en,10,0.8276181757450104,0.02043562748807565,10,10,10,10
intfloat/multilingual-e5-base,english_gold,hi,9,0.8123491538895501,0.03184518953704874,9,9,9,9
intfloat/multilingual-e5-base,english_gold,hinglish,10,0.8244864702224731,0.033134339673982785,10,10,10,10
intfloat/multilingual-e5-base,english_gold,gap_en_minus_hi,,0.015269021855460307,,,,,
intfloat/multilingual-e5-base,english_gold,gap_en_minus_hinglish,,0.003131705522537276,,,,,
intfloat/multilingual-e5-base,same_language_gold,en,10,0.8276181757450104,0.02043562748807565,10,10,10,10
intfloat/multilingual-e5-base,same_language_gold,hi,9,0.8169154855940077,0.030345575521792244,9,9,9,9
intfloat/multilingual-e5-base,same_language_gold,hinglish,10,0.8231614768505097,0.026875650842160183,10,10,10,10
intfloat/multilingual-e5-base,same_language_gold,gap_en_minus_hi,,0.01070269015100267,,,,,
intfloat/multilingual-e5-base,same_language_gold,gap_en_minus_hinglish,,0.004456698894500732,,,,,
google/muril-base-cased,english_gold,en,10,0.9900191843509674,0.0018941401424804934,10,10,10,10
google/muril-base-cased,english_gold,hi,9,0.9879662791887919,0.0013447483525119092,9,9,9,9
google/muril-base-cased,english_gold,hinglish,10,0.9893125236034394,0.0016812633426347794,10,10,10,10
google/muril-base-cased,english_gold,gap_en_minus_hi,,0.002052905162175489,,,,,
google/muril-base-cased,english_gold,gap_en_minus_hinglish,,0.0007066607475280096,,,,,
google/muril-base-cased,same_language_gold,en,10,0.9900191843509674,0.0018941401424804934,10,10,10,10
google/muril-base-cased,same_language_gold,hi,9,0.9883767167727152,0.0026812925555314677,9,9,9,9
google/muril-base-cased,same_language_gold,hinglish,10,0.9889810383319855,0.0021772942306088334,10,10,10,10
google/muril-base-cased,same_language_gold,gap_en_minus_hi,,0.0016424675782521492,,,,,
google/muril-base-cased,same_language_gold,gap_en_minus_hinglish,,0.0010381460189818892,,,,,
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,english_gold,en,10,0.6456870555877685,0.13479288186667343,10,7,7,5
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,english_gold,hi,9,0.5587563547823164,0.14954989407654293,8,4,3,3
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,english_gold,hinglish,10,0.5420310139656067,0.19849739190112392,7,6,5,4
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,english_gold,gap_en_minus_hi,,0.08693070080545207,,,,,
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,english_gold,gap_en_minus_hinglish,,0.1036560416221618,,,,,
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,same_language_gold,en,10,0.6456870555877685,0.13479288186667343,10,7,7,5
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,same_language_gold,hi,9,0.5356746448410882,0.16460988721088282,7,3,3,3
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,same_language_gold,hinglish,10,0.5278210312128067,0.17541067080871803,7,5,4,3
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,same_language_gold,gap_en_minus_hi,,0.11001241074668033,,,,,
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,same_language_gold,gap_en_minus_hinglish,,0.11786602437496185,,,,,
