encoder,gold_mode,variant,case_id,task_id,gold_text,answer,cosine_similarity
sentence-transformers/all-MiniLM-L6-v2,english_gold,en,capital_maharashtra__en,capital_maharashtra,Mumbai,"Mumbai is the capital of Maharashtra, and it is also the largest city in India.",0.6466650366783142
sentence-transformers/all-MiniLM-L6-v2,english_gold,hi,capital_maharashtra__hi,capital_maharashtra,Mumbai,महाराष्ट्र की राजधानी मुंबई है। यह भारत का एक प्रमुख आर्थिक और सांस्कृतिक केंद्र है।,0.32577842473983765
sentence-transformers/all-MiniLM-L6-v2,english_gold,hinglish,capital_maharashtra__hinglish,capital_maharashtra,Mumbai,"Maharashtra ki rajdhani Mumbai hai, jo ki Bharat ka ek mahatvapurn arthik aur samajik kendra bhi hai.",0.5761641263961792
sentence-transformers/all-MiniLM-L6-v2,english_gold,en,planets_count__en,planets_count,Eight,"There are eight planets in our solar system. They are Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune.",0.3641458749771118
sentence-transformers/all-MiniLM-L6-v2,english_gold,hi,planets_count__hi,planets_count,Eight,"हमारे सौर मंडल में 8 ग्रह हैं: बुध, शुक्र, पृथ्वी, मंगल, बृहस्पति, शनि, यूरेनस और नेपच्यून। यह संख्या 2006 में प्लूटो को बौना ग्रह घोषित करने के बाद तय हुई।",0.21956253051757812
sentence-transformers/all-MiniLM-L6-v2,english_gold,hinglish,planets_count__hinglish,planets_count,Eight,"हमारे सौर मंडल में 8 ग्रह हैं: बुध, शुक्र, पृथ्वी, मंगल, बृहस्पति, शनि, यूरेनस और नेपच्यून।",0.2733006477355957
sentence-transformers/all-MiniLM-L6-v2,english_gold,en,freedom_year__en,freedom_year,1947,"India gained independence in 1947, following a prolonged struggle for freedom led by leaders such as Mahatma G",0.3582524061203003
sentence-transformers/all-MiniLM-L6-v2,english_gold,hi,freedom_year__hi,freedom_year,1947,"भारत को 1947 में स्वतंत्रता मिली, जो 15 अगस्त 1947 को प्राप्त हुई।",0.36126795411109924
sentence-transformers/all-MiniLM-L6-v2,english_gold,hinglish,freedom_year__hinglish,freedom_year,1947,"1947, 15 अगस्त 1947 को भारत को आज़ादी मिली।",0.47393327951431274
sentence-transformers/all-MiniLM-L6-v2,english_gold,en,water_formula__en,water_formula,H2O,The chemical formula of water is H₂O. It indicates that each molecule contains two hydrogen atoms bonded to one oxygen atom.,0.3796911835670471
sentence-transformers/all-MiniLM-L6-v2,english_gold,hi,water_formula__hi,water_formula,H2O,पानी का रासायनिक सूत्र H₂O है। यह दो हाइड्रोजन परमाणु और एक ऑक्सीजन परमाणु से बना होता है।,0.13013654947280884
sentence-transformers/all-MiniLM-L6-v2,english_gold,hinglish,water_formula__hinglish,water_formula,H2O,पानी का रासायनिक सूत्र H₂O है। यह दो हाइड्रोजन और एक ऑक्सीजन परमाणु से बना होता है।,0.1313796192407608
sentence-transformers/all-MiniLM-L6-v2,english_gold,en,national_animal_india__en,national_animal_india,Bengal tiger,"The national animal of India is the Bengal tiger (Panthera tigris tigris). It symbolizes strength, grace, and the rich wildlife heritage of the country.",0.7353532314300537
sentence-transformers/all-MiniLM-L6-v2,english_gold,hi,national_animal_india__hi,national_animal_india,Bengal tiger,"भारत का राष्ट्रीय पशु बंगाल टाइगर है, जो देश के समृद्ध वन्यजीवन का प्रतीक माना जाता है।",0.27471601963043213
sentence-transformers/all-MiniLM-L6-v2,english_gold,hinglish,national_animal_india__hinglish,national_animal_india,Bengal tiger,भारत का राष्ट्रीय पशु बाघ है। यह देश के समृद्ध वन्यजीवन और सांस्कृतिक विरासत का प्रतीक माना जाता है।,0.2198287844657898
sentence-transformers/all-MiniLM-L6-v2,english_gold,en,largest_ocean__en,largest_ocean,Pacific Ocean,"The Pacific Ocean is the largest ocean on Earth, covering about 46.6 million square miles and containing more than 30 % of the planet’s surface.",0.6045788526535034
sentence-transformers/all-MiniLM-L6-v2,english_gold,hi,largest_ocean__hi,largest_ocean,Pacific Ocean,पृथ्वी का सबसे बड़ा महासागर प्रशांत महासागर है। यह दुनिया का सबसे बड़ा और गहरा महासागर है।,0.11409634351730347
sentence-transformers/all-MiniLM-L6-v2,english_gold,hinglish,largest_ocean__hinglish,largest_ocean,Pacific Ocean,"सबसे बड़ा महासागर प्रशांत महासागर (Pacific Ocean) है, जो पृथ्वी के कुल समुद्री क्षेत्र का लगभग 46% हिस्सा घेरता है।",0.38829243183135986
sentence-transformers/all-MiniLM-L6-v2,english_gold,en,sun_rise_direction__en,sun_rise_direction,East,"The sun rises in the east, because the Earth rotates from west to east, making the sun appear to move across the eastern horizon.",0.41699421405792236
sentence-transformers/all-MiniLM-L6-v2,english_gold,hi,sun_rise_direction__hi,sun_rise_direction,East,सूर्य पूर्व दिशा में उगता है। यह पृथ्वी के घूर्णन के कारण होता है।,0.06798265874385834
sentence-transformers/all-MiniLM-L6-v2,english_gold,hinglish,sun_rise_direction__hinglish,sun_rise_direction,East,Suraj purvi (east) disha mein ugta hai. Isse din ki shuruaat hoti hai aur prakash ki pehli kiranen dharti par pahunchtī hain.,0.2419770210981369
sentence-transformers/all-MiniLM-L6-v2,english_gold,en,days_in_leap_year__en,days_in_leap_year,366,A leap year has 366 days. The extra day is added to February to keep the calendar year synchronized with the astronomical year.,0.1874908208847046
sentence-transformers/all-MiniLM-L6-v2,english_gold,hi,days_in_leap_year__hi,days_in_leap_year,366,"एक लीप वर्ष में 366 दिन होते हैं, क्योंकि 29 फरवरी को जोड़कर सामान्य 365 दिनों से एक दिन अधिक हो जाता है।",0.2866784334182739
sentence-transformers/all-MiniLM-L6-v2,english_gold,hinglish,days_in_leap_year__hinglish,days_in_leap_year,366,"एक लीप वर्ष में 366 दिन होते हैं, क्योंकि फरवरी में एक अतिरिक्त दिन (29 फरवरी) जोड़ दिया जाता है।",0.264585942029953
sentence-transformers/all-MiniLM-L6-v2,english_gold,en,father_of_nation_india__en,father_of_nation_india,Mahatma Gandhi,"Mahatma Gandhi is known as the Father of the Nation in India, having led the non‑violent struggle for independence from British rule.",0.6918043494224548
sentence-transformers/all-MiniLM-L6-v2,english_gold,hinglish,father_of_nation_india__hinglish,father_of_nation_india,Mahatma Gandhi,"भारत में राष्ट्रपिता के रूप में महात्मा गांधी को जाना जाता है, क्योंकि उन्होंने स्वतंत्रता संग्राम में अहिंसात्मक संघर्ष के माध्यम से देश को स्वतंत्रता दिलाई।",0.32578131556510925
sentence-transformers/all-MiniLM-L6-v2,english_gold,en,boiling_point_water_c__en,boiling_point_water_c,100 degrees Celsius,Water boils at 100 °C at sea level. This is the standard boiling point under normal atmospheric pressure.,0.5133939981460571
sentence-transformers/all-MiniLM-L6-v2,english_gold,hi,boiling_point_water_c__hi,boiling_point_water_c,100 degrees Celsius,समुद्र तल पर पानी 100 °C पर उबलता है। यह मान मानक वायुमंडलीय दबाव (1 atm) पर लागू होता है।,0.39335426688194275
sentence-transformers/all-MiniLM-L6-v2,english_gold,hinglish,boiling_point_water_c__hinglish,boiling_point_water_c,100 degrees Celsius,पानी समुद्र तल पर मानक वायुमंडलीय दाब (1 atm) पर 100 °C पर उबलता है।,0.4718475043773651
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,en,capital_maharashtra__en,capital_maharashtra,Mumbai,"Mumbai is the capital of Maharashtra, and it is also the largest city in India.",0.6466650366783142
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,hi,capital_maharashtra__hi,capital_maharashtra,मुंबई,महाराष्ट्र की राजधानी मुंबई है। यह भारत का एक प्रमुख आर्थिक और सांस्कृतिक केंद्र है।,0.21706852316856384
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,hinglish,capital_maharashtra__hinglish,capital_maharashtra,Mumbai,"Maharashtra ki rajdhani Mumbai hai, jo ki Bharat ka ek mahatvapurn arthik aur samajik kendra bhi hai.",0.5761641263961792
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,en,planets_count__en,planets_count,Eight,"There are eight planets in our solar system. They are Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune.",0.3641458749771118
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,hi,planets_count__hi,planets_count,आठ,"हमारे सौर मंडल में 8 ग्रह हैं: बुध, शुक्र, पृथ्वी, मंगल, बृहस्पति, शनि, यूरेनस और नेपच्यून। यह संख्या 2006 में प्लूटो को बौना ग्रह घोषित करने के बाद तय हुई।",0.19315382838249207
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,hinglish,planets_count__hinglish,planets_count,Aath,"हमारे सौर मंडल में 8 ग्रह हैं: बुध, शुक्र, पृथ्वी, मंगल, बृहस्पति, शनि, यूरेनस और नेपच्यून।",0.11013816297054291
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,en,freedom_year__en,freedom_year,1947,"India gained independence in 1947, following a prolonged struggle for freedom led by leaders such as Mahatma G",0.3582524061203003
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,hi,freedom_year__hi,freedom_year,१९४७,"भारत को 1947 में स्वतंत्रता मिली, जो 15 अगस्त 1947 को प्राप्त हुई।",0.24034041166305542
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,hinglish,freedom_year__hinglish,freedom_year,1947,"1947, 15 अगस्त 1947 को भारत को आज़ादी मिली।",0.47393327951431274
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,en,water_formula__en,water_formula,H2O,The chemical formula of water is H₂O. It indicates that each molecule contains two hydrogen atoms bonded to one oxygen atom.,0.3796911835670471
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,hi,water_formula__hi,water_formula,H2O,पानी का रासायनिक सूत्र H₂O है। यह दो हाइड्रोजन परमाणु और एक ऑक्सीजन परमाणु से बना होता है।,0.13013654947280884
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,hinglish,water_formula__hinglish,water_formula,H2O,पानी का रासायनिक सूत्र H₂O है। यह दो हाइड्रोजन और एक ऑक्सीजन परमाणु से बना होता है।,0.1313796192407608
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,en,national_animal_india__en,national_animal_india,Bengal tiger,"The national animal of India is the Bengal tiger (Panthera tigris tigris). It symbolizes strength, grace, and the rich wildlife heritage of the country.",0.7353532314300537
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,hi,national_animal_india__hi,national_animal_india,बंगाल टाइगर,"भारत का राष्ट्रीय पशु बंगाल टाइगर है, जो देश के समृद्ध वन्यजीवन का प्रतीक माना जाता है।",0.5964365005493164
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,hinglish,national_animal_india__hinglish,national_animal_india,Bengal tiger,भारत का राष्ट्रीय पशु बाघ है। यह देश के समृद्ध वन्यजीवन और सांस्कृतिक विरासत का प्रतीक माना जाता है।,0.2198287844657898
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,en,largest_ocean__en,largest_ocean,Pacific Ocean,"The Pacific Ocean is the largest ocean on Earth, covering about 46.6 million square miles and containing more than 30 % of the planet’s surface.",0.6045788526535034
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,hi,largest_ocean__hi,largest_ocean,प्रशांत महासागर,पृथ्वी का सबसे बड़ा महासागर प्रशांत महासागर है। यह दुनिया का सबसे बड़ा और गहरा महासागर है।,0.801872730255127
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,hinglish,largest_ocean__hinglish,largest_ocean,Prashant Mahasagar,"सबसे बड़ा महासागर प्रशांत महासागर (Pacific Ocean) है, जो पृथ्वी के कुल समुद्री क्षेत्र का लगभग 46% हिस्सा घेरता है।",0.40783166885375977
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,en,sun_rise_direction__en,sun_rise_direction,East,"The sun rises in the east, because the Earth rotates from west to east, making the sun appear to move across the eastern horizon.",0.41699421405792236
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,hi,sun_rise_direction__hi,sun_rise_direction,पूर्व,सूर्य पूर्व दिशा में उगता है। यह पृथ्वी के घूर्णन के कारण होता है।,0.5775113105773926
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,hinglish,sun_rise_direction__hinglish,sun_rise_direction,Purab,Suraj purvi (east) disha mein ugta hai. Isse din ki shuruaat hoti hai aur prakash ki pehli kiranen dharti par pahunchtī hain.,0.30280089378356934
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,en,days_in_leap_year__en,days_in_leap_year,366,A leap year has 366 days. The extra day is added to February to keep the calendar year synchronized with the astronomical year.,0.1874908208847046
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,hi,days_in_leap_year__hi,days_in_leap_year,३६६,"एक लीप वर्ष में 366 दिन होते हैं, क्योंकि 29 फरवरी को जोड़कर सामान्य 365 दिनों से एक दिन अधिक हो जाता है।",0.18290646374225616
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,hinglish,days_in_leap_year__hinglish,days_in_leap_year,366,"एक लीप वर्ष में 366 दिन होते हैं, क्योंकि फरवरी में एक अतिरिक्त दिन (29 फरवरी) जोड़ दिया जाता है।",0.264585942029953
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,en,father_of_nation_india__en,father_of_nation_india,Mahatma Gandhi,"Mahatma Gandhi is known as the Father of the Nation in India, having led the non‑violent struggle for independence from British rule.",0.6918043494224548
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,hinglish,father_of_nation_india__hinglish,father_of_nation_india,Mahatma Gandhi,"भारत में राष्ट्रपिता के रूप में महात्मा गांधी को जाना जाता है, क्योंकि उन्होंने स्वतंत्रता संग्राम में अहिंसात्मक संघर्ष के माध्यम से देश को स्वतंत्रता दिलाई।",0.32578131556510925
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,en,boiling_point_water_c__en,boiling_point_water_c,100 degrees Celsius,Water boils at 100 °C at sea level. This is the standard boiling point under normal atmospheric pressure.,0.5133939981460571
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,hi,boiling_point_water_c__hi,boiling_point_water_c,१०० डिग्री सेल्सियस,समुद्र तल पर पानी 100 °C पर उबलता है। यह मान मानक वायुमंडलीय दबाव (1 atm) पर लागू होता है।,0.5519875288009644
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,hinglish,boiling_point_water_c__hinglish,boiling_point_water_c,100 degree Celsius,पानी समुद्र तल पर मानक वायुमंडलीय दाब (1 atm) पर 100 °C पर उबलता है।,0.4633513391017914
sentence-transformers/LaBSE,english_gold,en,capital_maharashtra__en,capital_maharashtra,Mumbai,"Mumbai is the capital of Maharashtra, and it is also the largest city in India.",0.5127702355384827
sentence-transformers/LaBSE,english_gold,hi,capital_maharashtra__hi,capital_maharashtra,Mumbai,महाराष्ट्र की राजधानी मुंबई है। यह भारत का एक प्रमुख आर्थिक और सांस्कृतिक केंद्र है।,0.46552425622940063
sentence-transformers/LaBSE,english_gold,hinglish,capital_maharashtra__hinglish,capital_maharashtra,Mumbai,"Maharashtra ki rajdhani Mumbai hai, jo ki Bharat ka ek mahatvapurn arthik aur samajik kendra bhi hai.",0.46962952613830566
sentence-transformers/LaBSE,english_gold,en,planets_count__en,planets_count,Eight,"There are eight planets in our solar system. They are Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune.",0.19032138586044312
sentence-transformers/LaBSE,english_gold,hi,planets_count__hi,planets_count,Eight,"हमारे सौर मंडल में 8 ग्रह हैं: बुध, शुक्र, पृथ्वी, मंगल, बृहस्पति, शनि, यूरेनस और नेपच्यून। यह संख्या 2006 में प्लूटो को बौना ग्रह घोषित करने के बाद तय हुई।",0.17619401216506958
