target_word,category,source,suggested_reading_a,suggested_reading_b,trap_viability,domain_fit
समुद्र तल,compound_misleading_literal,own,,,,
जलस्तर,compound_misleading_literal,own,,,,
शेष राशि,compound_misleading_literal,own,,,,
मूलधन,compound_misleading_literal,own,,,,
निकासी,compound_misleading_literal,own,,,,
कल,time_adverb_tense_flip,own,,,,
परसों,time_adverb_tense_flip,own,,,,
नरसों,time_adverb_tense_flip,own,,,,
सवा,fractional_number,own,,,,
ढाई,fractional_number,own,,,,
साढ़े,fractional_number,own,,,,
पौने,fractional_number,own,,,,
डेढ़,fractional_number,own,,,,
लाख,indian_numbering,own,,,,
करोड़,indian_numbering,own,,,,
