encoder,gold_mode,gold_length,variant,mean_similarity_old,mean_similarity_new,mean_similarity_delta,roc_auc_hard_old,roc_auc_hard_new,roc_auc_hard_delta,roc_auc_subtle_old,roc_auc_subtle_new,roc_auc_subtle_delta,separation_old,separation_new,separation_delta,accuracy_at_0.5_hard_old,accuracy_at_0.5_hard_new,accuracy_at_0.5_hard_delta,best_accuracy_hard_old,best_accuracy_hard_new,best_accuracy_hard_delta
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,en,0.4898369967937469,0.496531555056572,0.006694558262825057,0.5800000000000001,0.59,0.009999999999999898,0.41000000000000003,0.43000000000000005,0.020000000000000018,0.05861317664384841,0.06530773490667346,0.006694558262825057,0.55,0.55,0.0,0.7,0.7,0.0
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hi,0.24150813122590384,0.20943278653754127,-0.03207534468836257,0.7111111111111111,0.6444444444444444,-0.06666666666666676,0.5777777777777777,0.5,-0.07777777777777772,0.07323333670695623,0.04115799201859366,-0.03207534468836257,0.5263157894736842,0.5263157894736842,0.0,0.7368421052631579,0.6842105263157895,-0.05263157894736836
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hinglish,0.33670906722545624,0.3847358234226704,0.04802675619721414,0.53,0.64,0.10999999999999999,0.49,0.4600000000000001,-0.029999999999999916,0.022944951057434104,0.07097170725464824,0.04802675619721414,0.5,0.55,0.050000000000000044,0.6,0.7,0.09999999999999998
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,en,0.8620026290416718,0.8664780616760254,0.004475432634353571,0.53,0.6,0.06999999999999995,0.39,0.42,0.02999999999999997,0.007745045423507735,0.012220478057861306,0.004475432634353571,0.5,0.5,0.0,0.6,0.65,0.050000000000000044
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,hi,0.23256481749316057,0.1865396946668625,-0.04602512282629809,0.711111111111111,0.5888888888888889,-0.12222222222222212,0.5333333333333333,0.43333333333333335,-0.09999999999999998,0.08081510088716945,0.03478997806087136,-0.04602512282629809,0.5263157894736842,0.5263157894736842,0.0,0.7368421052631579,0.631578947368421,-0.10526315789473684
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,hinglish,0.29410419166088103,0.44017941057682036,0.14607521891593933,0.51,0.75,0.24,0.39,0.5900000000000001,0.20000000000000007,0.011138200387358632,0.15721341930329796,0.14607521891593933,0.5,0.6,0.09999999999999998,0.65,0.75,0.09999999999999998
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,short,en,0.4898369967937469,0.496531555056572,0.006694558262825057,0.5800000000000001,0.59,0.009999999999999898,0.41000000000000003,0.43000000000000005,0.020000000000000018,0.05861317664384841,0.06530773490667346,0.006694558262825057,0.55,0.55,0.0,0.7,0.7,0.0
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,short,hi,0.3879348718457752,0.39282044768333435,0.004885575837559164,0.3666666666666667,0.34444444444444444,-0.022222222222222254,0.3444444444444444,0.3111111111111111,-0.03333333333333327,-0.06460334128803674,-0.05971776545047758,0.004885575837559164,0.5263157894736842,0.47368421052631576,-0.05263157894736842,0.5789473684210527,0.5263157894736842,-0.052631578947368474
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,short,hinglish,0.3275795131921768,0.376216721534729,0.048637208342552196,0.44999999999999996,0.5700000000000001,0.1200000000000001,0.3,0.31000000000000005,0.010000000000000064,-0.02708611637353897,0.021551091969013225,0.048637208342552196,0.45,0.5,0.04999999999999999,0.55,0.65,0.09999999999999998
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,full_sentence,en,0.8620026290416718,0.8664780616760254,0.004475432634353571,0.53,0.6,0.06999999999999995,0.39,0.42,0.02999999999999997,0.007745045423507735,0.012220478057861306,0.004475432634353571,0.5,0.5,0.0,0.6,0.65,0.050000000000000044
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,full_sentence,hi,0.85667484998703,0.8640282352765402,0.007353385289510128,0.24444444444444446,0.24444444444444444,-2.7755575615628914e-17,0.2,0.1333333333333333,-0.06666666666666671,-0.0657577455043793,-0.058404360214869167,0.007353385289510128,0.47368421052631576,0.47368421052631576,0.0,0.5263157894736842,0.5263157894736842,0.0
sentence-transformers/all-MiniLM-L6-v2,same_language_gold,full_sentence,hinglish,0.5987209439277649,0.7286328673362732,0.12991192340850832,0.019999999999999997,0.06,0.04,0.019999999999999997,0.019999999999999997,0.0,-0.3076656997203827,-0.1777537763118744,0.12991192340850832,0.4,0.5,0.09999999999999998,0.5,0.5,0.0
sentence-transformers/LaBSE,english_gold,short,en,0.44569837749004365,0.4154196947813034,-0.030278682708740234,0.7700000000000001,0.7200000000000001,-0.050000000000000044,0.38,0.31999999999999995,-0.06000000000000005,0.09701284617185596,0.06673416346311573,-0.030278682708740234,0.75,0.65,-0.09999999999999998,0.75,0.75,0.0
sentence-transformers/LaBSE,english_gold,short,hi,0.4369055794345008,0.4004604501856698,-0.03644512924883103,0.7222222222222222,0.6333333333333334,-0.0888888888888888,0.3333333333333333,0.3111111111111111,-0.0222222222222222,0.06349907683001627,0.027053947581185234,-0.03644512924883103,0.5263157894736842,0.47368421052631576,-0.05263157894736842,0.7894736842105263,0.6842105263157895,-0.10526315789473684
sentence-transformers/LaBSE,english_gold,short,hinglish,0.4199172168970108,0.37470951229333876,-0.045207704603672016,0.83,0.71,-0.12,0.48000000000000004,0.42,-0.06000000000000005,0.18097261711955068,0.13576491251587866,-0.045207704603672016,0.55,0.6,0.04999999999999993,0.8,0.75,-0.050000000000000044
sentence-transformers/LaBSE,english_gold,full_sentence,en,0.7161285638809204,0.68848215341568,-0.027646410465240412,0.10999999999999997,0.06999999999999998,-0.039999999999999994,0.019999999999999997,0.019999999999999997,0.0,-0.12530952095985415,-0.15295593142509456,-0.027646410465240412,0.5,0.5,0.0,0.5,0.5,0.0
sentence-transformers/LaBSE,english_gold,full_sentence,hi,0.7443960044119093,0.7069348825348748,-0.03746112187703454,0.22222222222222227,0.16666666666666666,-0.05555555555555561,0.21111111111111114,0.13333333333333333,-0.0777777777777778,-0.05226764347818158,-0.08972876535521612,-0.03746112187703454,0.47368421052631576,0.47368421052631576,0.0,0.5263157894736842,0.5263157894736842,0.0
sentence-transformers/LaBSE,english_gold,full_sentence,hinglish,0.6921925634145737,0.5078752182424069,-0.1843173451721668,0.93,0.7300000000000001,-0.19999999999999996,0.8500000000000001,0.5,-0.3500000000000001,0.31009578257799153,0.12577843740582473,-0.1843173451721668,0.8,0.65,-0.15000000000000002,0.9,0.75,-0.15000000000000002
